"scenario","stage","block","uid:1"
1,1,1,54.150000000000006
1,1,2,54.150000000000006
1,1,3,54.150000000000006
1,1,4,54.150000000000006
1,1,5,54.150000000000006
1,1,6,54.150000000000006
1,1,7,54.150000000000006
1,1,8,54.150000000000006
1,1,9,54.150000000000006
1,1,10,54.150000000000006
1,1,11,54.150000000000006
1,1,12,54.150000000000006
1,1,13,0
1,1,14,59.99999999999999
1,1,15,55.65000000000011
1,1,16,59.99999999999999
1,1,17,59.99999999999999
1,1,18,59.99999999999999
1,1,19,59.99999999999999
1,1,20,59.99999999999999
1,1,21,59.99999999999999
1,1,22,59.99999999999999
1,1,23,59.99999999999999
1,1,24,54.14999999999999
