"scenario","stage","block","uid:1"
1,1,1,0
1,1,2,0
1,1,3,56.99999999999999
1,1,4,113.99999999999999
1,1,5,107.84210526315788
1,1,6,101.68421052631578
1,1,7,95.52631578947368
1,1,8,89.36842105263158
1,1,9,83.21052631578948
1,1,10,77.05263157894738
1,1,11,70.89473684210529
1,1,12,67.7368421052631
1,1,13,61.578947368421
1,1,14,55.421052631578895
1,1,15,49.2631578947368
1,1,16,43.1052631578947
1,1,17,36.9473684210526
1,1,18,30.789473684210503
1,1,19,24.631578947368403
1,1,20,18.473684210526304
1,1,21,12.315789473684205
1,1,22,6.157894736842106
1,1,23,0
1,1,24,0
