"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,-3.469446951953614e-13,0,0,0
1,1,2,-3.469446951953614e-13,0,0,0
1,1,3,-3.469446951953614e-13,0,0,0
1,1,4,-3.469446951953614e-13,0,0,0
1,1,5,-3.469446951953614e-13,0,0,0
1,1,6,-3.469446951953614e-13,0,0,0
1,1,7,-3.469446951953614e-13,0,0,0
1,1,8,-3.469446951953614e-13,0,0,0
1,1,9,-3.469446951953614e-13,0,0,0
1,1,10,-3.469446951953614e-13,0,0,0
1,1,11,-3.469446951953614e-13,0,0,0
1,1,12,-3.469446951953614e-13,0,0,0
1,1,13,-3.469446951953614e-13,0,0,0
1,1,14,-3.469446951953614e-13,0,0,0
1,1,15,-3.469446951953614e-13,0,0,0
1,1,16,-3.469446951953614e-13,0,0,0
1,1,17,-3.469446951953614e-13,0,0,0
1,1,18,-3.469446951953614e-13,0,0,0
1,1,19,-3.469446951953614e-13,0,0,0
1,1,20,-3.469446951953614e-13,0,0,0
1,1,21,-3.469446951953614e-13,0,0,0
1,1,22,-3.469446951953614e-13,0,0,0
1,1,23,-3.469446951953614e-13,0,0,0
1,1,24,-3.469446951953614e-13,0,0,0
