"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.7754893617021282,-1.2775106382978731,-1.2162978723404263
1,1,2,0,-0.3821276595744681,-0.537872340425532,-0.6604255319148937
1,1,3,0,-0.36468085106382986,-0.5153191489361701,-0.628936170212766
1,1,4,0,-0.36468085106382986,-0.5153191489361701,-0.628936170212766
1,1,5,0,-0.3821276595744681,-0.537872340425532,-0.6604255319148937
1,1,6,0,-0.4519148936170215,-0.6280851063829787,-0.7863829787234042
1,1,7,0,-0.570212765957447,-0.7897872340425531,-0.9940425531914895
1,1,8,0,-0.7787234042553196,-1.0812765957446806,-1.355744680851064
1,1,9,0,-0.9872340425531919,-1.3727659574468083,-1.7174468085106385
1,1,10,0,-1.169617021276596,-1.6473829787234038,-2.0207234042553193
1,1,11,0,-1.2355744680851068,-1.7414255319148937,-2.1339148936170216
1,1,12,0,-1.2772765957446812,-1.7997234042553187,-2.2062553191489362
1,1,13,0,-1.6808510638297873,-2.559148936170213,-2.7761702127659573
1,1,14,0,-1.2374468085106387,-1.7225531914893615,-2.151489361702128
1,1,15,0,-1.1782978723404258,-1.6417021276595742,-2.047659574468085
1,1,16,0,-1.1297872340425534,-1.5702127659574465,-1.9659574468085108
1,1,17,0,-1.1540425531914895,-1.6059574468085105,-2.006808510638298
1,1,18,0,-1.2374468085106387,-1.7225531914893615,-2.151489361702128
1,1,19,0,-1.4042553191489364,-1.955744680851064,-2.440851063829787
1,1,20,0,-1.5468085106382987,-2.1531914893617023,-2.68936170212766
1,1,21,0,-1.4808510638297878,-2.0591489361702133,-2.5761702127659585
1,1,22,0,-1.3382978723404257,-1.8617021276595742,-2.327659574468085
1,1,23,0,-1.0721702127659578,-1.514829787234043,-1.849234042553192
1,1,24,0,-0.7206808510638302,-1.0363191489361703,-1.2309361702127661
