"scenario","stage","block","uid","value"
1,1,1,1,50
1,1,2,1,46
1,1,3,1,44
1,1,4,1,44
1,1,5,1,46
1,1,6,1,54
1,1,7,1,63.5
1,1,8,1,79.5
1,1,9,1,86.5
1,1,10,1,85.5
1,1,11,1,75.5
1,1,12,1,67
1,1,13,1,62
1,1,14,1,62.5
1,1,15,1,64.5
1,1,16,1,72
1,1,17,1,93
1,1,18,1,121
1,1,19,1,159
1,1,20,1,183.2
1,1,21,1,177
1,1,22,1,160
1,1,23,1,125
1,1,24,1,82
1,1,7,3,4.5
1,1,8,3,13.5
1,1,9,3,31.5
1,1,10,3,49.5
1,1,11,3,67.5
1,1,12,3,81
1,1,13,3,90
1,1,14,3,85.5
1,1,15,3,76.5
1,1,16,3,63
1,1,17,3,45
1,1,18,3,27
1,1,19,3,9
1,1,20,3,1.8
