"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.4568510638297874,-0.6601489361702129,-0.7781702127659577
1,1,2,0,-0.4219574468085107,-0.6150425531914895,-0.7151914893617023
1,1,3,0,-0.40451063829787237,-0.5924893617021278,-0.6837021276595747
1,1,4,0,-0.40451063829787237,-0.5924893617021278,-0.6837021276595747
1,1,5,0,-0.4219574468085107,-0.6150425531914895,-0.7151914893617023
1,1,6,0,-0.4917446808510639,-0.7052553191489362,-0.8411489361702129
1,1,7,0,-0.6100425531914894,-0.8669574468085107,-1.048808510638298
1,1,8,0,-0.8185531914893619,-1.1584468085106383,-1.4105106382978725
1,1,9,0,-1.0668936170212644,-1.5271063829786997,-1.8269787234042387
1,1,10,0,-1.1297872340425534,-1.570212765957447,-1.965957446808511
1,1,11,0,-1.315234042553204,-1.8957659574468324,-2.2434468085106554
1,1,12,0,-1.2374468085106385,-1.7225531914893621,-2.151489361702128
1,1,13,0,-1.272340425531915,-1.7676595744680854,-2.2144680851063834
1,1,14,0,-1.277276595744681,-1.7997234042553192,-2.2062553191489367
1,1,15,0,-1.2181276595744683,-1.718872340425532,-2.1024255319148937
1,1,16,0,-1.2094468085106322,-1.7245531914893502,-2.07548936170212
1,1,17,0,-1.1540425531914895,-1.605957446808511,-2.0068085106382982
1,1,18,0,-1.3171063829787235,-1.8768936170212762,-2.261021276595745
1,1,19,0,-1.404255319148936,-1.9557446808510641,-2.440851063829787
1,1,20,0,-1.586638297872347,-2.2303617021276714,-2.7441276595744766
1,1,21,0,-1.52068085106383,-2.1363191489361704,-2.6309361702127663
1,1,22,0,-1.3781276595744683,-1.9388723404255321,-2.3824255319148944
1,1,23,0,-1.0823829787234045,-1.5346170212765957,-1.8632765957446813
1,1,24,0,-0.7206808510638301,-1.0363191489361703,-1.2309361702127661
