"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.8255319148936168,-1.3744680851063829,-1.285106382978723
1,1,2,0,-0.38212765957446804,-0.5378723404255318,-0.6604255319148936
1,1,3,0,-0.7731914893617018,-1.3068085106382974,-1.19063829787234
1,1,4,0,-0.42391489361702167,-0.6300851063829795,-0.7103829787234048
1,1,5,0,-0.38212765957446804,-0.5378723404255318,-0.6604255319148936
1,1,6,0,-0.4519148936170212,-0.6280851063829784,-0.7863829787234041
1,1,7,0,-0.5702127659574467,-0.7897872340425529,-0.9940425531914892
1,1,8,0,-0.778723404255319,-1.0812765957446806,-1.3557446808510638
1,1,9,0,-0.9872340425531912,-1.3727659574468083,-1.7174468085106382
1,1,10,0,-1.129787234042553,-1.5702127659574467,-1.9659574468085106
1,1,11,0,-1.1957446808510634,-1.664255319148936,-2.079148936170213
1,1,12,0,-1.2374468085106378,-1.7225531914893608,-2.1514893617021267
1,1,13,0,-1.2723404255319146,-1.7676595744680847,-2.214468085106382
1,1,14,0,-1.2374468085106378,-1.7225531914893608,-2.1514893617021267
1,1,15,0,-1.1782978723404256,-1.6417021276595742,-2.047659574468085
1,1,16,0,-1.129787234042553,-1.5702127659574467,-1.9659574468085106
1,1,17,0,-1.1540425531914893,-1.6059574468085105,-2.006808510638298
1,1,18,0,-1.2374468085106378,-1.7225531914893608,-2.1514893617021267
1,1,19,0,-1.4042553191489358,-1.9557446808510632,-2.4408510638297867
1,1,20,0,-1.5468085106382976,-2.153191489361702,-2.6893617021276595
1,1,21,0,-1.480851063829787,-2.0591489361702124,-2.576170212765957
1,1,22,0,-1.3382978723404255,-1.8617021276595744,-2.3276595744680857
1,1,23,0,-1.1222127659574466,-1.611787234042553,-1.9180425531914889
1,1,24,0,-0.6808510638297869,-0.9591489361702126,-1.176170212765957
