"scenario","stage","block","uid:1"
1,1,1,56.99999999999999
1,1,2,50.84210526315789
1,1,3,44.68421052631578
1,1,4,38.52631578947368
1,1,5,32.36842105263157
1,1,6,26.210526315789462
1,1,7,20.052631578947356
1,1,8,23.052631578947388
1,1,9,16.89473684210528
1,1,10,10.736842105263175
1,1,11,4.578947368421069
1,1,12,61.57894736842106
1,1,13,55.42105263157896
1,1,14,49.26315789473685
1,1,15,43.10526315789475
1,1,16,36.94736842105264
1,1,17,30.78947368421053
1,1,18,24.631578947368425
1,1,19,18.47368421052632
1,1,20,12.315789473684212
1,1,21,6.157894736842106
1,1,22,0
1,1,23,6.157894736842106
1,1,24,0
