"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.4568510638297871,-0.6601489361702125,-0.7781702127659573
1,1,2,0,-0.4219574468085105,-0.6150425531914894,-0.715191489361702
1,1,3,0,-0.40451063829787215,-0.5924893617021274,-0.6837021276595744
1,1,4,0,-0.7731914893617019,-1.3068085106382976,-1.1906382978723402
1,1,5,0,-0.382127659574468,-0.5378723404255319,-0.6604255319148936
1,1,6,0,-0.4519148936170212,-0.6280851063829785,-0.7863829787234042
1,1,7,0,-0.5702127659574467,-0.7897872340425532,-0.9940425531914895
1,1,8,0,-0.7787234042553192,-1.0812765957446808,-1.3557446808510638
1,1,9,0,-0.9872340425531914,-1.3727659574468085,-1.7174468085106382
1,1,10,0,-1.1594042553191484,-1.6275957446808504,-2.0066808510638294
1,1,11,0,-1.195744680851064,-1.664255319148936,-2.0791489361702125
1,1,12,0,-1.2374468085106383,-1.722553191489362,-2.1514893617021276
1,1,13,0,-1.2723404255319146,-1.767659574468085,-2.2144680851063825
1,1,14,0,-1.2374468085106383,-1.722553191489362,-2.1514893617021276
1,1,15,0,-1.3774468085106382,-2.0275531914893614,-2.3214893617021275
1,1,16,0,-1.129787234042553,-1.5702127659574467,-1.9659574468085106
1,1,17,0,-1.154042553191489,-1.6059574468085105,-2.006808510638298
1,1,18,0,-1.2374468085106383,-1.722553191489362,-2.1514893617021276
1,1,19,0,-1.404255319148936,-1.9557446808510637,-2.440851063829787
1,1,20,0,-1.7459574468085104,-2.5390425531914893,-2.9631914893617024
1,1,21,0,-1.4808510638297872,-2.0591489361702124,-2.5761702127659576
1,1,22,0,-1.3382978723404253,-1.8617021276595742,-2.327659574468085
1,1,23,0,-1.0425531914893615,-1.4574468085106382,-1.808510638297872
1,1,24,0,-0.6808510638297871,-0.9591489361702126,-1.1761702127659575
