"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,55.84999999999998,0,0,54.150000000000006
1,1,2,51.849999999999994,0,0,54.150000000000006
1,1,3,49.84999999999998,0,0,54.150000000000006
1,1,4,103.99999999999997,0,0,0
1,1,5,46,0,0,60
1,1,6,53.999999999999986,0,0,60
1,1,7,63.5,0,4.5,60
1,1,8,79.5,0,13.5,60
1,1,9,86.5,0,31.499999999999996,60
1,1,10,89.84999999999997,0,49.50000000000001,55.65000000000003
1,1,11,75.5,0,67.5,60
1,1,12,67,0,81,60
1,1,13,61.999999999999986,0,90,60
1,1,14,62.5,0,85.5,60
1,1,15,93.75,0,76.5,30.75000000000001
1,1,16,71.99999999999997,0,62.99999999999999,60
1,1,17,93,0,45,60
1,1,18,121,0,27,60
1,1,19,159,0,9,60
1,1,20,212.45,0,1.8,30.75000000000001
1,1,21,177,0,0,60
1,1,22,160,0,0,60
1,1,23,125,0,0,60
1,1,24,81.99999999999999,0,0,60
