"scenario","stage","block","uid:1"
1,1,1,57
1,1,2,50.8421052631579
1,1,3,44.684210526315795
1,1,4,59.99999999999995
1,1,5,53.84210526315785
1,1,6,47.684210526315745
1,1,7,41.52631578947364
1,1,8,35.36842105263154
1,1,9,29.210526315789437
1,1,10,23.052631578947334
1,1,11,16.89473684210523
1,1,12,10.736842105263129
1,1,13,4.5789473684210265
1,1,14,61.57894736842103
1,1,15,55.421052631578924
1,1,16,49.26315789473682
1,1,17,43.10526315789472
1,1,18,36.947368421052616
1,1,19,30.789473684210513
1,1,20,24.63157894736841
1,1,21,18.473684210526308
1,1,22,12.315789473684205
1,1,23,6.157894736842103
1,1,24,0
