"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.825531914893617,-1.3744680851063829,-1.2851063829787233
1,1,2,0,-0.3821276595744681,-0.5378723404255319,-0.6604255319148937
1,1,3,0,-0.3646808510638298,-0.5153191489361703,-0.6289361702127659
1,1,4,0,-0.503574468085106,-0.7844255319148928,-0.8199148936170206
1,1,5,0,-0.3821276595744681,-0.5378723404255319,-0.6604255319148937
1,1,6,0,-0.4519148936170213,-0.6280851063829787,-0.7863829787234043
1,1,7,0,-0.5702127659574467,-0.7897872340425532,-0.9940425531914892
1,1,8,0,-0.7787234042553192,-1.0812765957446808,-1.3557446808510636
1,1,9,0,-0.9872340425531916,-1.3727659574468087,-1.7174468085106382
1,1,10,0,-1.1297872340425532,-1.570212765957447,-1.9659574468085101
1,1,11,0,-1.195744680851064,-1.664255319148936,-2.079148936170213
1,1,12,0,-1.2374468085106385,-1.722553191489362,-2.1514893617021276
1,1,13,0,-1.2723404255319146,-1.7676595744680852,-2.214468085106382
1,1,14,0,-1.6459574468085105,-2.5140425531914894,-2.713191489361702
1,1,15,0,-1.1782978723404254,-1.6417021276595742,-2.047659574468085
1,1,16,0,-1.1297872340425532,-1.570212765957447,-1.9659574468085101
1,1,17,0,-1.1540425531914893,-1.6059574468085105,-2.0068085106382982
1,1,18,0,-1.2374468085106385,-1.722553191489362,-2.1514893617021276
1,1,19,0,-1.404255319148936,-1.9557446808510637,-2.4408510638297876
1,1,20,0,-1.5468085106382978,-2.1531914893617023,-2.689361702127659
1,1,21,0,-1.4808510638297872,-2.059148936170213,-2.576170212765957
1,1,22,0,-1.3382978723404253,-1.8617021276595744,-2.327659574468085
1,1,23,0,-1.0425531914893618,-1.4574468085106382,-1.8085106382978724
1,1,24,0,-0.6808510638297872,-0.9591489361702127,-1.1761702127659577
