"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,55.85,0,-0,54.15
1,1,2,51.85,0,-0,54.15
1,1,3,49.85,0,-0,54.15
1,1,4,49.85,0,-0,54.15
1,1,5,51.85,0,-0,54.15
1,1,6,59.849999999999994,0,-0,54.15
1,1,7,69.35,0,4.5,54.15
1,1,8,85.35,0,13.5,54.15
1,1,9,92.34999999999998,0,31.499999999999996,54.15
1,1,10,91.35,0,49.50000000000001,54.15
1,1,11,81.35,0,67.5,54.15
1,1,12,72.85,0,81,54.15
1,1,13,67.85,0,90,54.15
1,1,14,68.35,0,85.5,54.15
1,1,15,70.35000000000002,0,76.5,54.15
1,1,16,77.85,0,62.99999999999999,54.15
1,1,17,98.85,0,45,54.15
1,1,18,126.85,0,27,54.15
1,1,19,164.85000000000002,0,9,54.15
1,1,20,189.04999999999998,0,1.8,54.15
1,1,21,182.85000000000002,0,-0,54.15
1,1,22,165.85,0,-0,54.15
1,1,23,130.85,0,-0,54.15
1,1,24,87.85,0,-0,54.15
