"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.45685106382978724,-0.6601489361702128,-0.7781702127659574
1,1,2,0,-0.4219574468085107,-0.6150425531914895,-0.7151914893617023
1,1,3,0,-0.5240000000000002,-0.8240000000000002,-0.8480000000000003
1,1,4,0,-0.36468085106382975,-0.5153191489361703,-0.6289361702127658
1,1,5,0,-0.3821276595744682,-0.5378723404255321,-0.6604255319148936
1,1,6,0,-0.45191489361702125,-0.6280851063829787,-0.7863829787234042
1,1,7,0,-0.6498723404255321,-0.9441276595744682,-1.1035744680851065
1,1,8,0,-0.7787234042553192,-1.081276595744681,-1.3557446808510638
1,1,9,0,-1.1863829787234046,-1.7586170212765964,-1.9912765957446816
1,1,10,0,-1.129787234042553,-1.5702127659574467,-1.9659574468085106
1,1,11,0,-1.1957446808510637,-1.6642553191489362,-2.079148936170213
1,1,12,0,-1.2374468085106383,-1.7225531914893624,-2.1514893617021276
1,1,13,0,-1.2723404255319148,-1.7676595744680854,-2.2144680851063834
1,1,14,0,-1.3171063829787235,-1.8768936170212769,-2.261021276595745
1,1,15,0,-1.1782978723404256,-1.6417021276595745,-2.047659574468085
1,1,16,0,-1.1696170212765957,-1.6473829787234047,-2.020723404255319
1,1,17,0,-1.2337021276595743,-1.7602978723404255,-2.1163404255319147
1,1,18,0,-1.2374468085106383,-1.7225531914893624,-2.1514893617021276
1,1,19,0,-1.4440851063829785,-2.032914893617021,-2.4956170212765953
1,1,20,0,-1.5866382978723403,-2.2303617021276603,-2.744127659574468
1,1,21,0,-1.5206808510638299,-2.1363191489361704,-2.6309361702127663
1,1,22,0,-1.378127659574468,-1.9388723404255326,-2.3824255319148935
1,1,23,0,-1.1222127659574472,-1.6117872340425536,-1.9180425531914898
1,1,24,0,-0.6808510638297873,-0.9591489361702129,-1.1761702127659575
