"scenario","stage","block","uid:1"
1,1,1,18.050000000000008
1,1,2,18.050000000000008
1,1,3,18.050000000000008
1,1,4,18.050000000000008
1,1,5,18.050000000000008
1,1,6,18.050000000000008
1,1,7,18.050000000000008
1,1,8,18.050000000000008
1,1,9,18.050000000000008
1,1,10,18.050000000000008
1,1,11,18.050000000000008
1,1,12,18.050000000000008
1,1,13,18.050000000000008
1,1,14,18.05
1,1,15,18.05
1,1,16,18.05
1,1,17,18.05
1,1,18,18.05
1,1,19,18.05
1,1,20,18.05
1,1,21,18.05
1,1,22,18.05
1,1,23,18.050000000000008
1,1,24,18.050000000000008
