"scenario","stage","block","uid:1"
1,1,1,-20.000000000000007
1,1,2,-20.000000000000007
1,1,3,-20.000000000000007
1,1,4,-20.000000000000007
1,1,5,-20.000000000000007
1,1,6,-20.000000000000007
1,1,7,-20.000000000000007
1,1,8,-20.000000000000007
1,1,9,-20.000000000000007
1,1,10,-20.000000000000007
1,1,11,-20.000000000000007
1,1,12,-20.000000000000007
1,1,13,-20.000000000000007
1,1,14,-19.999999999999996
1,1,15,-19.999999999999996
1,1,16,-19.999999999999996
1,1,17,-19.999999999999996
1,1,18,-19.999999999999996
1,1,19,-19.999999999999996
1,1,20,-19.999999999999996
1,1,21,-19.999999999999996
1,1,22,-19.999999999999996
1,1,23,-20.000000000000007
1,1,24,-20.000000000000007
