"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,55.849999999999994,0,0,54.150000000000006
1,1,2,51.85000000000001,0,0,54.15
1,1,3,67.40000000000002,0,0,36.59999999999997
1,1,4,43.99999999999999,0,0,60
1,1,5,46.000000000000014,0,0,60
1,1,6,54,0,0,60
1,1,7,75.20000000000002,0,4.5,48.29999999999999
1,1,8,79.50000000000001,0,13.5,60
1,1,9,115.75000000000006,0,31.499999999999996,30.749999999999964
1,1,10,85.49999999999997,0,49.50000000000001,60
1,1,11,75.5,0,67.5,60
1,1,12,67.00000000000003,0,81,60
1,1,13,62,0,90,60
1,1,14,74.2,0,85.5,48.29999999999999
1,1,15,64.5,0,76.5,60
1,1,16,77.85000000000002,0,62.99999999999999,54.15
1,1,17,104.69999999999999,0,45,48.29999999999999
1,1,18,121.00000000000001,0,27,60
1,1,19,164.85,0,9,54.15
1,1,20,189.05,0,1.8,54.15
1,1,21,182.85,0,0,54.15
1,1,22,165.85000000000002,0,0,54.15
1,1,23,136.70000000000005,0,0,48.29999999999999
1,1,24,82.00000000000001,0,0,60
