"scenario","stage","block","uid:1"
1,1,1,13.430526315789605
1,1,2,13.430526315789605
1,1,3,13.430526315789605
1,1,4,13.430526315789605
1,1,5,13.430526315789605
1,1,6,13.430526315789605
1,1,7,13.430526315789605
1,1,8,66.06052631578959
1,1,9,66.06052631578959
1,1,10,123.06052631578957
1,1,11,123.06052631578957
1,1,12,136.36052631578957
1,1,13,162.96052631578956
1,1,14,184.81052631578956
1,1,15,196.21052631578954
1,1,16,196.21052631578954
1,1,17,196.21052631578954
1,1,18,196.21052631578954
1,1,19,166.10526315789477
1,1,20,102.94736842105269
1,1,21,44.42105263157898
1,1,22,3.789473684210572
1,1,23,0
1,1,24,0
