"scenario","stage","block","uid:1"
1,1,1,-19.000000000000007
1,1,2,-19
1,1,3,-19
1,1,4,-19
1,1,5,-19
1,1,6,-19.000000000000004
1,1,7,-19.000000000000004
1,1,8,-19.000000000000004
1,1,9,-19.000000000000004
1,1,10,-19.000000000000004
1,1,11,-19.000000000000004
1,1,12,-19.000000000000004
1,1,13,-19.000000000000004
1,1,14,-19.000000000000004
1,1,15,-19.000000000000004
1,1,16,-19.000000000000004
1,1,17,-19.000000000000004
1,1,18,-19.000000000000004
1,1,19,-40.43287671232876
1,1,20,-40.43287671232876
1,1,21,-40.43287671232876
1,1,22,-40.43287671232876
1,1,23,-40.43287671232876
1,1,24,-19.000000000000007
