"scenario","stage","block","uid:1"
1,1,1,0.4310526315789477
1,1,2,0.36947368421052657
1,1,3,0.3078947368421055
1,1,4,0.24631578947368443
1,1,5,0.18473684210526328
1,1,6,0.12315789473684222
1,1,7,0.06157894736842111
1,1,8,0
1,1,9,0.12315789473684222
1,1,10,0.06157894736842111
1,1,11,0
1,1,12,0.08578947368421033
1,1,13,0.3189473684210523
1,1,14,0.499473684210526
1,1,15,0.5542105263157899
1,1,16,0.49263157894736886
1,1,17,0.4310526315789477
1,1,18,0.36947368421052657
1,1,19,0.3078947368421055
1,1,20,0.24631578947368443
1,1,21,0.18473684210526328
1,1,22,0.12315789473684222
1,1,23,0.06157894736842111
1,1,24,0
