"scenario","stage","block","uid","value"
1,1,1,1,20
1,1,2,1,20
1,1,3,1,20
1,1,4,1,20
1,1,5,1,20
1,1,6,1,20
1,1,7,1,20
1,1,8,1,20
1,1,9,1,20
1,1,10,1,20
1,1,11,1,20
1,1,12,1,20
1,1,13,1,20
1,1,14,1,20
1,1,15,1,20
1,1,16,1,20
1,1,17,1,20
1,1,18,1,20
1,1,19,1,44.72159
1,1,20,1,135.4342
1,1,21,1,44.72159
1,1,22,1,44.72159
1,1,23,1,44.72159
1,1,24,1,20
1,1,1,2,20
1,1,2,2,20
1,1,3,2,20
1,1,4,2,20
1,1,5,2,20
1,1,6,2,20
1,1,7,2,20
1,1,8,2,20
1,1,9,2,20
1,1,10,2,20
1,1,11,2,20
1,1,12,2,20
1,1,13,2,20
1,1,14,2,20
1,1,15,2,20
1,1,16,2,20
1,1,17,2,20
1,1,18,2,20
1,1,19,2,44.72159
1,1,20,2,135.4342
1,1,21,2,44.72159
1,1,22,2,44.72159
1,1,23,2,44.72159
1,1,24,2,20
1,1,1,3,20
1,1,2,3,20
1,1,3,3,20
1,1,4,3,20
1,1,5,3,20
1,1,6,3,20
1,1,7,3,20
1,1,8,3,20
1,1,9,3,20
1,1,10,3,20
1,1,11,3,20
1,1,12,3,20
1,1,13,3,20
1,1,14,3,20
1,1,15,3,20
1,1,16,3,20
1,1,17,3,20
1,1,18,3,20
1,1,19,3,44.72159
1,1,20,3,135.4342
1,1,21,3,44.72159
1,1,22,3,44.72159
1,1,23,3,44.72159
1,1,24,3,20
1,1,1,4,20
1,1,2,4,20
1,1,3,4,20
1,1,4,4,20
1,1,5,4,20
1,1,6,4,20
1,1,7,4,20
1,1,8,4,20
1,1,9,4,20
1,1,10,4,20
1,1,11,4,20
1,1,12,4,20
1,1,13,4,20
1,1,14,4,20
1,1,15,4,20
1,1,16,4,20
1,1,17,4,20
1,1,18,4,20
1,1,19,4,44.72159
1,1,20,4,135.4342
1,1,21,4,44.72159
1,1,22,4,44.72159
1,1,23,4,44.72159
1,1,24,4,20
