"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.6559999999999997,-1.0459999999999994,-1.0519999999999994
1,1,2,0,-0.38212765957446804,-0.5378723404255319,-0.6604255319148936
1,1,3,0,-0.36468085106382986,-0.5153191489361701,-0.628936170212766
1,1,4,0,-0.36468085106382986,-0.5153191489361701,-0.628936170212766
1,1,5,0,-0.38212765957446804,-0.5378723404255319,-0.6604255319148936
1,1,6,0,-0.4519148936170215,-0.6280851063829789,-0.7863829787234047
1,1,7,0,-0.6100425531914895,-0.8669574468085108,-1.048808510638298
1,1,8,0,-0.818553191489362,-1.1584468085106383,-1.4105106382978727
1,1,9,0,-1.0270638297872343,-1.4499361702127662,-1.7722127659574474
1,1,10,0,-1.1696170212765957,-1.6473829787234042,-2.0207234042553193
1,1,11,0,-1.2355744680851068,-1.741425531914894,-2.1339148936170225
1,1,12,0,-1.3256170212765956,-1.893382978723405,-2.272723404255319
1,1,13,0,-1.462978723404255,-2.137021276595744,-2.4765957446808513
1,1,14,0,-1.277276595744681,-1.799723404255319,-2.2062553191489367
1,1,15,0,-1.2181276595744681,-1.7188723404255317,-2.1024255319148937
1,1,16,0,-1.1696170212765957,-1.6473829787234042,-2.0207234042553193
1,1,17,0,-1.1540425531914893,-1.6059574468085105,-2.0068085106382982
1,1,18,0,-1.317106382978723,-1.876893617021276,-2.2610212765957445
1,1,19,0,-1.0744680851063828,-1.7855319148936173,-2.1748936170212767
1,1,20,0,-0.8028085106382976,-1.7691914893617018,-2.08936170212766
1,1,21,0,-0.7948936170212763,-1.7051063829787236,-2.0229787234042553
1,1,22,0,-0.8765957446808511,-1.623404255319149,-1.95531914893617
1,1,23,0,-1.0425531914893618,-1.4574468085106382,-1.8085106382978724
1,1,24,0,-0.72068085106383,-1.0363191489361703,-1.2309361702127664
