"scenario","stage","block","uid:1"
1,1,1,1085.872576177285
1,1,2,1085.872576177285
1,1,3,1085.872576177285
1,1,4,1085.872576177285
1,1,5,1085.872576177285
1,1,6,1085.872576177285
1,1,7,1085.872576177285
1,1,8,1085.872576177285
1,1,9,1085.872576177285
1,1,10,1085.872576177285
1,1,11,1085.872576177285
1,1,12,1085.872576177285
1,1,13,1085.872576177285
1,1,14,1085.872576177285
1,1,15,1085.872576177285
1,1,16,1085.872576177285
1,1,17,1085.872576177285
1,1,18,1063.7119113573406
1,1,19,1028.0909194399117
1,1,20,1028.0909194399117
1,1,21,1028.0909194399117
1,1,22,1028.0909194399117
1,1,23,1028.0909194399117
1,1,24,1028.0909194399117
