"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,0,0,0
1,1,2,0,0,0
1,1,3,0,0,0
1,1,4,0,0,1.7728531855955652
1,1,5,0,0,26.759002770083107
1,1,6,0,0,60
1,1,7,0,0,60
1,1,8,0,0,0
1,1,9,0,0,60
1,1,10,0,0,15.250000000000192
1,1,11,0,0,54.35803324099703
1,1,12,0,0,12.500000000000014
1,1,13,0,0,11.999999999999972
1,1,14,0,0,10.250000000000014
1,1,15,0,0,7.749999999999993
1,1,16,0,0,8.499999999999993
1,1,17,0,0,20.5
1,1,18,0,0,26.759002770083093
1,1,19,0,0,32.488504155124744
1,1,20,0,0,53.08850415512462
1,1,21,0,0,45.988504155124616
1,1,22,0,0,28.988504155124645
1,1,23,0,0,0
1,1,24,0,0,0
