"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,30,20,60
1,1,2,28,18,60
1,1,3,27,17,60
1,1,4,27,17,60
1,1,5,28,18,60
1,1,6,32,21.999999999999996,60
1,1,7,40,28,60
1,1,8,55,38,60
1,1,9,70,48,60
1,1,10,80,55,60
1,1,11,85,58.00000000000001,60
1,1,12,87.99999999999999,60,60
1,1,13,90.00000000000001,62,60
1,1,14,87.99999999999999,60,60
1,1,15,84,56.99999999999999,60
1,1,16,80,55,60
1,1,17,82,56,60
1,1,18,87.99999999999999,60,60
1,1,19,100,68,60
1,1,20,110,75,60
1,1,21,105,72,60
1,1,22,95,65,60
1,1,23,75,50,60
1,1,24,50,32,60
