"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,0,0,0
1,1,2,0,0,0,0
1,1,3,0,0,0,0
1,1,4,0,0,0,0
1,1,5,0,0,0,0
1,1,6,0,0,0,0
1,1,7,0,0,0,0
1,1,8,0,0,0,0
1,1,9,0,0,0,0
1,1,10,0,0,0,0
1,1,11,0,0,0,0
1,1,12,0,0,0,0
1,1,13,0,0,0,0
1,1,14,0,0,0,0
1,1,15,0,0,0,0
1,1,16,0,0,0,0
1,1,17,0,0,0,0
1,1,18,0,0,0,0
1,1,19,22.5609228550829,2.560922855082896,0,0
1,1,20,124.07685652487388,104.07685652487388,0,10.715068493150689
1,1,21,22.560922855082904,2.5609228550829033,0,0
1,1,22,22.560922855082904,2.5609228550829033,0,0
1,1,23,22.560922855082904,2.5609228550829033,0,0
1,1,24,0,0,0,0
