"scenario","stage","block","uid","value"
1,1,1,1,50
1,1,2,1,46
1,1,3,1,44
1,1,4,1,44
1,1,5,1,46
1,1,6,1,54
1,1,7,1,59
1,1,8,1,66
1,1,9,1,55
1,1,10,1,96
1,1,11,1,50.137398
1,1,16,1,9
1,1,17,1,48
1,1,18,1,121.4
1,1,19,1,121.4
1,1,20,1,121.4
1,1,21,1,121.4
1,1,22,1,121.4
1,1,23,1,121.4
1,1,24,1,82
1,1,7,3,9
1,1,8,3,27
1,1,9,3,63
1,1,10,3,99
1,1,11,3,135
1,1,12,3,162
1,1,13,3,180
1,1,14,3,171
1,1,15,3,153
1,1,16,3,126
1,1,17,3,90
1,1,18,3,54
1,1,19,3,18
1,1,20,3,3.6
1,1,19,4,28.6
1,1,20,4,60
1,1,21,4,55.6
1,1,22,4,38.6
1,1,23,4,3.6
