"scenario","stage","block","uid:1"
1,1,1,-21.052631578947373
1,1,2,-21.052631578947373
1,1,3,-21.052631578947373
1,1,4,-21.052631578947373
1,1,5,-21.052631578947373
1,1,6,-21.052631578947373
1,1,7,-21.052631578947373
1,1,8,-21.052631578947373
1,1,9,-21.052631578947373
1,1,10,-21.052631578947373
1,1,11,-21.052631578947373
1,1,12,-21.052631578947373
1,1,13,-21.052631578947373
1,1,14,-21.052631578947373
1,1,15,-21.052631578947373
1,1,16,-21.052631578947373
1,1,17,-21.052631578947373
1,1,18,-21.052631578947373
1,1,19,-42.48550829127614
1,1,20,-42.48550829127614
1,1,21,-42.48550829127614
1,1,22,-42.48550829127614
1,1,23,-42.48550829127614
1,1,24,-19.000000000000007
