"scenario","stage","block","uid:1"
1,1,1,24.63157894736842
1,1,2,18.473684210526315
1,1,3,12.315789473684207
1,1,4,6.157894736842107
1,1,5,0
1,1,6,30.789473684210527
1,1,7,24.63157894736842
1,1,8,18.473684210526315
1,1,9,12.315789473684207
1,1,10,6.1578947368421
1,1,11,0
1,1,12,8.578947368421055
1,1,13,6.263157894736843
1,1,14,24.315789473684198
1,1,15,30.789473684210527
1,1,16,30.789473684210527
1,1,17,30.789473684210527
1,1,18,30.78947368421053
1,1,19,24.63157894736842
1,1,20,18.473684210526315
1,1,21,12.315789473684207
1,1,22,6.157894736842107
1,1,23,0
1,1,24,0
