"scenario","stage","block","uid:1"
1,1,1,54.150000000000006
1,1,2,54.150000000000006
1,1,3,54.150000000000006
1,1,4,54.150000000000006
1,1,5,54.150000000000006
1,1,6,54.150000000000006
1,1,7,54.150000000000006
1,1,8,54.150000000000006
1,1,9,54.150000000000006
1,1,10,54.150000000000006
1,1,11,54.150000000000006
1,1,12,54.150000000000006
1,1,13,48.19999999999995
1,1,14,37.00000000000003
1,1,15,48.00000000000004
1,1,16,54.14999999999936
1,1,17,54.15000000000065
1,1,18,54.150000000000006
1,1,19,60
1,1,20,60
1,1,21,60
1,1,22,60
1,1,23,60
1,1,24,54.150000000000006
