"scenario","stage","block","uid:1"
1,1,1,30.749999999999993
1,1,2,60.00000000000001
1,1,3,60.00000000000001
1,1,4,60.00000000000001
1,1,5,60.00000000000001
1,1,6,24.899999999999995
1,1,7,60.00000000000001
1,1,8,60.00000000000001
1,1,9,60.00000000000001
1,1,10,60.00000000000001
1,1,11,60
1,1,12,46
1,1,13,56.35000000000001
1,1,14,37.00000000000001
1,1,15,47.999999999999986
1,1,16,54.150000000000006
1,1,17,54.150000000000006
1,1,18,54.15
1,1,19,60.00000000000001
1,1,20,60.00000000000001
1,1,21,60.00000000000001
1,1,22,60.00000000000001
1,1,23,60.00000000000001
1,1,24,54.150000000000006
