"scenario","stage","block","uid:1"
1,1,1,-19.000000000000004
1,1,2,-19.000000000000004
1,1,3,-19.000000000000004
1,1,4,-19.000000000000004
1,1,5,-19.000000000000004
1,1,6,-19.000000000000004
1,1,7,-19.000000000000004
1,1,8,-19.000000000000004
1,1,9,-19.000000000000004
1,1,10,-19.000000000000004
1,1,11,-19.000000000000004
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,-19.000000000000004
1,1,17,-19
1,1,18,-19.000000000000004
1,1,19,-21.432876712328774
1,1,20,-21.432876712328774
1,1,21,-21.432876712328774
1,1,22,-21.432876712328774
1,1,23,-21.432876712328774
1,1,24,-19.000000000000004
