"scenario","stage","block","uid:1"
1,1,1,12.315789473684184
1,1,2,6.1578947368420955
1,1,3,0
1,1,4,30.78947368421047
1,1,5,24.631578947368375
1,1,6,18.47368421052628
1,1,7,12.315789473684184
1,1,8,6.1578947368420955
1,1,9,0
1,1,10,0
1,1,11,0
1,1,12,7.15789473684201
1,1,13,30.473684210526223
1,1,14,24.315789473684127
1,1,15,30.78947368421047
1,1,16,30.78947368421047
1,1,17,30.78947368421047
1,1,18,30.78947368421047
1,1,19,24.631578947368375
1,1,20,18.47368421052628
1,1,21,12.315789473684184
1,1,22,6.1578947368420955
1,1,23,0
1,1,24,0
