"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.6161702127659574,-0.9688297872340427,-0.9972340425531914
1,1,2,0,-0.38212765957446804,-0.5378723404255318,-0.6604255319148936
1,1,3,0,-0.3646808510638297,-0.51531914893617,-0.6289361702127658
1,1,4,0,-0.3646808510638297,-0.51531914893617,-0.6289361702127658
1,1,5,0,-0.38212765957446804,-0.5378723404255318,-0.6604255319148936
1,1,6,0,-0.6908936170212766,-1.0911063829787233,-1.1149787234042552
1,1,7,0,-0.5702127659574466,-0.7897872340425529,-0.9940425531914892
1,1,8,0,-0.778723404255319,-1.0812765957446806,-1.3557446808510638
1,1,9,0,-0.9872340425531912,-1.3727659574468083,-1.7174468085106382
1,1,10,0,-1.129787234042553,-1.5702127659574467,-1.9659574468085106
1,1,11,0,-1.1957446808510634,-1.664255319148936,-2.079148936170213
1,1,12,0,-1.332765957446809,-1.9072340425531915,-2.282553191489362
1,1,13,0,-1.2971914893617025,-1.815808510638297,-2.2486382978723403
1,1,14,0,-1.3940425531914893,-2.0259574468085106,-2.3668085106382986
1,1,15,0,-1.2599999999999996,-1.7999999999999994,-2.1599999999999997
1,1,16,0,-1.1696170212765957,-1.647382978723404,-2.0207234042553193
1,1,17,0,-1.1938723404255316,-1.683127659574468,-2.061574468085106
1,1,18,0,-1.2772765957446808,-1.7997234042553196,-2.2062553191489362
1,1,19,0,-1.0744680851063833,-1.7855319148936168,-2.1748936170212767
1,1,20,0,-0.8028085106382976,-1.7691914893617013,-2.089361702127659
1,1,21,0,-0.7948936170212771,-1.7051063829787232,-2.0229787234042553
1,1,22,0,-0.8765957446808513,-1.6234042553191483,-1.9553191489361703
1,1,23,0,-1.0425531914893618,-1.4574468085106385,-1.8085106382978726
1,1,24,0,-0.7206808510638296,-1.03631914893617,-1.2309361702127657
