"scenario","stage","block","uid:1"
1,1,1,-19.999999999999996
1,1,2,-20
1,1,3,-20
1,1,4,-20
1,1,5,-20
1,1,6,-19.999999999999996
1,1,7,-20.000000000000004
1,1,8,-20.000000000000004
1,1,9,-20.000000000000004
1,1,10,-20.000000000000004
1,1,11,-20
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,-19.999999999999996
1,1,17,-19.999999999999996
1,1,18,-20
1,1,19,-22.560922855082907
1,1,20,-22.560922855082907
1,1,21,-22.560922855082907
1,1,22,-22.560922855082907
1,1,23,-22.560922855082907
1,1,24,-19.999999999999996
