"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,20.851065,29.148935,5.5319147,15.319149,4.680851
1,1,2,24.055285,36.482113,8.284553,15.770731,2.2292686
1,1,3,18.234043,25.765957,5.0212765,13.212766,3.787234
1,1,4,18.234043,25.765957,5.0212765,13.212766,3.787234
1,1,5,19.106382,26.893618,5.191489,13.914893,4.0851064
1,1,6,22.595745,31.404255,5.87234,16.723404,5.2765956
1,1,7,28.51064,39.48936,7.319149,21.19149,6.808511
1,1,8,38.93617,54.06383,10.085107,28.851065,9.148936
1,1,9,49.361702,68.6383,12.851064,36.51064,11.489362
1,1,10,56.48936,78.510635,14.680851,41.80851,13.191489
1,1,11,59.787235,83.21277,15.617022,44.17021,13.829787
1,1,12,82.297874,125.702126,28.93617,53.361702,6.638298
1,1,13,84.04256,127.95744,29.276596,54.765957,7.2340426
1,1,14,82.297874,125.702126,28.93617,53.361702,6.638298
1,1,15,63.00000000000001,90,18,44.999999999999986,12.000000000000012
1,1,16,56.48936,78.510635,14.680851,41.80851,13.191489
1,1,17,57.70213,80.297874,15.063829,42.638298,13.361702
1,1,18,61.87234,86.12766,16.170214,45.70213,14.297873
1,1,19,60.476597,78.9234,12.297873,48.178722,19.821276
1,1,20,56.914894,68.085106,7.4468083,49.468086,25.531916
1,1,21,55.114895,66.2851,7.4468083,47.668087,24.331915
1,1,22,53.774467,67.625534,9.234042,44.540424,20.459574
1,1,23,50.902126,70.49787,13.063829,37.8383,12.161702
1,1,24,34.042553,47.957447,9.276596,24.765957,7.2340426
