"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,4.3368086899420177e-13,0,0,0
1,1,2,4.3368086899420177e-13,0,0,0
1,1,3,4.3368086899420177e-13,0,0,0
1,1,4,4.3368086899420177e-13,0,0,0
1,1,5,4.3368086899420177e-13,0,0,0
1,1,6,4.3368086899420177e-13,0,0,0
1,1,7,4.3368086899420177e-13,0,0,0
1,1,8,4.3368086899420177e-13,0,0,0
1,1,9,4.3368086899420177e-13,0,0,0
1,1,10,4.3368086899420177e-13,0,0,0
1,1,11,4.3368086899420177e-13,0,0,0
1,1,12,0,0,0,0
1,1,13,0,0,0,0
1,1,14,0,0,0,0
1,1,15,0,0,0,0
1,1,16,4.3368086899420177e-13,0,0,0
1,1,17,4.3368086899420177e-13,0,0,0
1,1,18,4.3368086899420177e-13,0,0,0
1,1,19,-2.1684043449710089e-13,0,0,0
1,1,20,8.673617379884035e-13,0,0,0
1,1,21,-2.1684043449710089e-13,0,0,0
1,1,22,-2.1684043449710089e-13,0,0,0
1,1,23,2.1684043449710089e-13,0,0,0
1,1,24,4.3368086899420177e-13,0,0,0
