"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.4568510638297871,-0.6601489361702125,-0.7781702127659573
1,1,2,0,-0.6211063829787233,-1.0008936170212765,-0.9890212765957447
1,1,3,0,-0.36468085106382975,-0.5153191489361701,-0.6289361702127659
1,1,4,0,-0.36468085106382975,-0.5153191489361701,-0.6289361702127659
1,1,5,0,-0.382127659574468,-0.5378723404255319,-0.6604255319148936
1,1,6,0,-0.4519148936170212,-0.6280851063829785,-0.7863829787234042
1,1,7,0,-0.6100425531914893,-0.8669574468085105,-1.0488085106382978
1,1,8,0,-0.7787234042553192,-1.0812765957446808,-1.3557446808510638
1,1,9,0,-1.106723404255319,-1.6042765957446807,-1.8817446808510638
1,1,10,0,-1.129787234042553,-1.5702127659574467,-1.9659574468085106
1,1,11,0,-1.195744680851064,-1.664255319148936,-2.0791489361702125
1,1,12,0,-1.277276595744681,-1.799723404255319,-2.2062553191489362
1,1,13,0,-1.3945531914893616,-2.004446808510638,-2.3825106382978722
1,1,14,0,-1.3940425531914895,-2.0259574468085106,-2.3668085106382977
1,1,15,0,-1.218127659574468,-1.7188723404255315,-2.1024255319148932
1,1,16,0,-1.129787234042553,-1.5702127659574467,-1.9659574468085106
1,1,17,0,-1.2337021276595743,-1.7602978723404255,-2.1163404255319147
1,1,18,0,-1.277276595744681,-1.799723404255319,-2.2062553191489362
1,1,19,0,-1.0744680851063826,-1.7855319148936173,-2.1748936170212767
1,1,20,0,-0.8028085106382976,-1.7691914893617022,-2.08936170212766
1,1,21,0,-0.7948936170212763,-1.7051063829787236,-2.0229787234042553
1,1,22,0,-0.876595744680851,-1.6234042553191492,-1.9553191489361703
1,1,23,0,-1.0425531914893615,-1.4574468085106382,-1.808510638297872
1,1,24,0,-0.7206808510638297,-1.03631914893617,-1.2309361702127657
