"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,55.84999999999998,0,0,54.150000000000006
1,1,2,81.1,0,0,24.900000000000013
1,1,3,43.99999999999999,0,0,60
1,1,4,43.99999999999999,0,0,60
1,1,5,46,0,0,60
1,1,6,53.999999999999986,0,0,60
1,1,7,64.85,0,9,54.150000000000006
1,1,8,66,0,27,60
1,1,9,72.54999999999998,0,62.99999999999999,42.45000000000001
1,1,10,35.99999999999996,0,99.00000000000001,60
1,1,11,8,0,135,60
1,1,12,0,0,153.85,54.150000000000006
1,1,13,0,0,169.95,42.05000000000001
1,1,14,0,0,171,37
1,1,15,0,0,146.84999999999997,54.15000000000001
1,1,16,8.999999999999986,0,125.99999999999999,60
1,1,17,59.69999999999999,0,90,48.300000000000004
1,1,18,99.85,0,54,54.150000000000006
1,1,19,125,25.000000000000043,18,60
1,1,20,125,56.40000000000004,3.6,60
1,1,21,125,52.00000000000004,0,60
1,1,22,125,35.00000000000002,0,60
1,1,23,125,0,0,60
1,1,24,87.85,0,0,54.150000000000006
