"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,22.842553191489355,33.00744680851063,6.7765957446808525,16.06595744680851,3.934042553191489
1,1,2,31.055319148936167,50.04468085106383,12.659574468085108,18.395744680851063,-0.3957446808510632
1,1,3,18.234042553191486,25.765957446808507,5.02127659574468,13.212765957446809,3.787234042553191
1,1,4,18.234042553191486,25.765957446808507,5.02127659574468,13.212765957446809,3.787234042553191
1,1,5,19.1063829787234,26.893617021276597,5.19148936170213,13.914893617021278,4.085106382978722
1,1,6,22.59574468085106,31.40425531914893,5.872340425531914,16.72340425531915,5.276595744680851
1,1,7,30.502127659574462,43.347872340425525,8.563829787234042,21.938297872340424,6.061702127659576
1,1,8,38.93617021276596,54.06382978723405,10.08510638297872,28.851063829787236,9.148936170212764
1,1,9,55.33617021276595,80.21382978723403,16.58510638297872,38.75106382978724,9.248936170212758
1,1,10,56.489361702127646,78.51063829787233,14.680851063829792,41.808510638297875,13.191489361702125
1,1,11,59.787234042553195,83.2127659574468,15.617021276595743,44.170212765957444,13.829787234042556
1,1,12,63.863829787234046,89.98617021276596,17.41489361702127,46.44893617021276,13.551063829787239
1,1,13,69.72765957446808,100.22234042553191,20.329787234042556,49.397872340425536,12.602127659574464
1,1,14,69.70212765957447,101.29787234042553,21.063829787234027,48.638297872340424,11.36170212765958
1,1,15,60.90638297872339,85.94361702127658,16.691489361702125,44.21489361702128,12.785106382978718
1,1,16,56.489361702127646,78.51063829787233,14.680851063829792,41.808510638297875,13.191489361702125
1,1,17,61.68510638297872,88.01489361702127,17.553191489361705,44.13191489361702,11.868085106382978
1,1,18,63.863829787234046,89.98617021276596,17.41489361702127,46.44893617021276,13.551063829787239
1,1,19,53.72340425531914,89.27659574468086,23.702127659574487,55.021276595744695,12.978723404255305
1,1,20,40.14042553191488,88.45957446808511,32.21276595744682,64.3276595744681,10.672340425531907
1,1,21,39.74468085106381,85.25531914893618,30.34042553191491,61.404255319148945,10.595744680851055
1,1,22,43.82978723404255,81.17021276595746,24.893617021276604,53.936170212765965,11.063829787234035
1,1,23,52.12765957446808,72.87234042553192,13.829787234042556,38.29787234042553,11.702127659574472
1,1,24,36.03404255319148,51.815957446808504,10.521276595744679,25.512765957446803,6.487234042553197
