"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,2,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,3,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,4,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,5,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,6,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,7,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,8,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,9,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,10,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,11,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,12,0,0,0,0,-0
1,1,13,0,0,0,0,-0
1,1,14,0,0,0,0,-0
1,1,15,0,0,0,0,-0
1,1,16,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,17,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,18,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,19,-3.469446951953614e-15,6.938893903907228e-15,-1.0408340855860843e-14,-2.3129646346357427e-15,5.204170427930421e-15
1,1,20,-1.3877787807814457e-14,2.7755575615628914e-14,-4.163336342344337e-14,-9.25185853854297e-15,2.0816681711721685e-14
1,1,21,-3.469446951953614e-15,6.938893903907228e-15,-1.0408340855860843e-14,-2.3129646346357427e-15,5.204170427930421e-15
1,1,22,-3.469446951953614e-15,6.938893903907228e-15,-1.0408340855860843e-14,-2.3129646346357427e-15,5.204170427930421e-15
1,1,23,-3.469446951953614e-15,-3.469446951953614e-15,0,0,0
1,1,24,-3.469446951953614e-15,-3.469446951953614e-15,-1.4948149101502273e-15,0,0
