"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,0,-0.4568510638297872,-0.6601489361702129,-0.7781702127659572
1,1,2,0,-0.42195744680851066,-0.6150425531914894,-0.7151914893617021
1,1,3,0,-0.4045106382978723,-0.5924893617021277,-0.6837021276595744
1,1,4,0,-0.4045106382978723,-0.5924893617021277,-0.6837021276595744
1,1,5,0,-0.42195744680851066,-0.6150425531914894,-0.7151914893617021
1,1,6,0,-0.49174468085106376,-0.7052553191489362,-0.8411489361702127
1,1,7,0,-0.6100425531914893,-0.8669574468085106,-1.0488085106382976
1,1,8,0,-0.8185531914893617,-1.1584468085106383,-1.410510638297872
1,1,9,0,-1.0270638297872339,-1.4499361702127658,-1.7722127659574465
1,1,10,0,-1.1696170212765957,-1.6473829787234044,-2.020723404255319
1,1,11,0,-1.2355744680851064,-1.7414255319148937,-2.133914893617021
1,1,12,0,-1.2772765957446806,-1.7997234042553192,-2.206255319148936
1,1,13,0,-1.3526808510638302,-1.9233191489361705,-2.324936170212767
1,1,14,0,-1.3940425531914895,-2.0259574468085106,-2.3668085106382977
1,1,15,0,-1.2600000000000002,-1.8,-2.16
1,1,16,0,-1.1297872340425532,-1.5702127659574467,-1.9659574468085108
1,1,17,0,-1.1540425531914893,-1.605957446808511,-2.0068085106382973
1,1,18,0,-1.356936170212766,-1.9540638297872344,-2.315787234042553
1,1,19,0,-1.0744680851063833,-1.7855319148936173,-2.1748936170212767
1,1,20,0,-0.8028085106382983,-1.7691914893617022,-2.0893617021276603
1,1,21,0,-0.7948936170212771,-1.7051063829787234,-2.022978723404256
1,1,22,0,-0.8765957446808517,-1.6234042553191492,-1.955319148936171
1,1,23,0,-1.0425531914893618,-1.4574468085106387,-1.8085106382978717
1,1,24,0,-0.7206808510638297,-1.0363191489361703,-1.2309361702127657
