"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,20,20,1.9499999999999968
1,1,2,20,20,1.9499999999999968
1,1,3,20,20,1.9499999999999968
1,1,4,20,20,1.9499999999999968
1,1,5,20,20,1.9499999999999968
1,1,6,20,20,1.9499999999999968
1,1,7,20,20,1.9499999999999968
1,1,8,20,20,1.9499999999999968
1,1,9,20,20,1.9499999999999968
1,1,10,20,20,1.9499999999999968
1,1,11,20,20,1.9499999999999968
1,1,12,-0,-0,-0
1,1,13,-0,-0,-0
1,1,14,-0,-0,-0
1,1,15,-0,-0,-0
1,1,16,20,20,1.9499999999999968
1,1,17,20,20,1.9499999999999968
1,1,18,20,20,1.9499999999999968
1,1,19,40,40,19.63876712328767
1,1,20,168.5917808219178,168.5917808219178,148.2305479452055
1,1,21,40,40,19.63876712328767
1,1,22,40,40,19.63876712328767
1,1,23,25.72876712328774,25.72876712328774,5.367534246575406
1,1,24,20,20,1.9499999999999968
