"scenario","stage","block","uid","value"
1,1,1,1,-980
1,1,2,1,-980
1,1,3,1,-980
1,1,4,1,-980
1,1,5,1,-980
1,1,6,1,-980
1,1,7,1,-980
1,1,8,1,-980
1,1,9,1,-980
1,1,10,1,-980
1,1,11,1,-980
1,1,12,1,-980
1,1,13,1,-980
1,1,14,1,-980
1,1,15,1,-980
1,1,16,1,-980
1,1,17,1,-980
1,1,18,1,-980
1,1,19,1,-955.27844
1,1,20,1,-864.5658
1,1,21,1,-955.27844
1,1,22,1,-955.27844
1,1,23,1,-955.27844
1,1,24,1,-980
1,1,1,2,-980
1,1,2,2,-980
1,1,3,2,-980
1,1,4,2,-980
1,1,5,2,-980
1,1,6,2,-980
1,1,7,2,-980
1,1,8,2,-980
1,1,9,2,-980
1,1,10,2,-980
1,1,11,2,-980
1,1,12,2,-980
1,1,13,2,-980
1,1,14,2,-980
1,1,15,2,-980
1,1,16,2,-980
1,1,17,2,-980
1,1,18,2,-980
1,1,19,2,-955.27844
1,1,20,2,-864.5658
1,1,21,2,-955.27844
1,1,22,2,-955.27844
1,1,23,2,-955.27844
1,1,24,2,-980
