"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,22.84255319148936,33.00744680851064,6.776595744680856,16.065957446808504,3.9340425531914978
1,1,2,21.097872340425532,30.75212765957447,6.436170212765957,14.661702127659575,3.3382978723404246
1,1,3,20.225531914893615,29.624468085106386,6.265957446808514,13.959574468085101,3.0404255319148987
1,1,4,20.225531914893615,29.624468085106386,6.265957446808514,13.959574468085101,3.0404255319148987
1,1,5,21.097872340425532,30.75212765957447,6.436170212765957,14.661702127659575,3.3382978723404246
1,1,6,24.587234042553188,35.26276595744681,7.117021276595747,17.470212765957445,4.529787234042555
1,1,7,30.502127659574462,43.34787234042553,8.563829787234049,21.93829787234042,6.061702127659579
1,1,8,40.92765957446808,57.922340425531914,11.329787234042556,29.597872340425532,8.402127659574468
1,1,9,51.35319148936169,72.49680851063829,14.09574468085107,37.257446808510636,10.742553191489364
1,1,10,58.48085106382978,82.36914893617022,15.925531914893625,42.55531914893615,12.44468085106385
1,1,11,61.77872340425532,87.07127659574468,16.861702127659576,44.91702127659574,13.08297872340426
1,1,12,63.86382978723403,89.98617021276596,17.414893617021285,46.448936170212754,13.551063829787246
1,1,13,67.6340425531915,96.16595744680852,19.021276595744673,48.61276595744683,13.387234042553168
1,1,14,69.70212765957447,101.29787234042553,21.06382978723404,48.63829787234042,11.361702127659582
1,1,15,63.00000000000001,90,18,44.99999999999999,12.000000000000007
1,1,16,56.48936170212766,78.51063829787233,14.680851063829785,41.80851063829788,13.191489361702118
1,1,17,57.70212765957446,80.29787234042554,15.063829787234056,42.6382978723404,13.361702127659598
1,1,18,67.8468085106383,97.70319148936171,19.904255319148945,47.94255319148935,12.057446808510647
1,1,19,53.72340425531916,89.27659574468086,23.702127659574472,55.021276595744666,12.978723404255334
1,1,20,40.140425531914914,88.45957446808511,32.21276595744679,64.3276595744681,10.6723404255319
1,1,21,39.744680851063855,85.25531914893617,30.340425531914875,61.40425531914896,10.595744680851041
1,1,22,43.829787234042584,81.17021276595746,24.893617021276583,53.93617021276596,11.063829787234042
1,1,23,52.12765957446808,72.87234042553193,13.829787234042563,38.297872340425506,11.702127659574494
1,1,24,36.03404255319148,51.81595744680851,10.521276595744684,25.512765957446806,6.487234042553194
