"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,-980,-980,0
1,1,2,-980,-980,0
1,1,3,-980,-980,0
1,1,4,-980,-980,0
1,1,5,-980,-980,0
1,1,6,-980,-980,0
1,1,7,-980,-980,0
1,1,8,-980,-980,0
1,1,9,-980,-980,0
1,1,10,-980,-980,-0
1,1,11,-980,-980,0
1,1,12,-980,-980,0
1,1,13,-980,-980,0
1,1,14,-980,-980,0
1,1,15,-980,-980,0
1,1,16,-980,-980,0
1,1,17,-980,-980,0
1,1,18,-980,-980,0
1,1,19,-955.2784123249725,-955.2784123249725,0
1,1,20,-864.5658027549043,-864.5658027549043,0
1,1,21,-955.2784123249725,-955.2784123249725,0
1,1,22,-955.2784123249725,-955.2784123249725,0
1,1,23,-955.2784123249725,-955.2784123249725,0
1,1,24,-980,-980,0
