"scenario","stage","block","uid:1","uid:2","uid:3"
1,1,1,-0,-0,-0
1,1,2,-0,-0,-0
1,1,3,-0,-0,-0
1,1,4,-0,-0,-0
1,1,5,-0,-0,-0
1,1,6,-0,-0,-0
1,1,7,-0,-0,-0
1,1,8,-1.0408340855860843e-14,-0,-0
1,1,9,-0,-0,-0
1,1,10,-0,-0,-0
1,1,11,-0,-0,-0
1,1,12,-0,-0,-0
1,1,13,-0,-0,-0
1,1,14,-0,-0,-0
1,1,15,-0,-0,-0
1,1,16,-0,-0,-0
1,1,17,-0,-0,-0
1,1,18,-0,-0,-0
1,1,19,24.7215876750275,4.721587675027498,-0
1,1,20,115.4341972450957,95.43419724509569,-0
1,1,21,24.7215876750275,4.721587675027498,-0
1,1,22,24.721587675027493,4.721587675027498,-0
1,1,23,24.7215876750275,4.721587675027498,-0
1,1,24,-0,-0,-0
