"scenario","stage","block","uid:1","uid:2","uid:3","uid:4"
1,1,1,64.1373961218838,0,0,0
1,1,2,46,0,0,0
1,1,3,44,0,0,0
1,1,4,44,0,0,0
1,1,5,46,0,0,0
1,1,6,54,0,0,0
1,1,7,59,0,9,0
1,1,8,121.39999999999999,0,27,0
1,1,9,55.00000000000001,0,62.99999999999999,0
1,1,10,95.99999999999999,0,99.00000000000001,0
1,1,11,8,0,135,0
1,1,12,0,0,162,0
1,1,13,0,0,180,0
1,1,14,0,0,171,0
1,1,15,0,0,153,0
1,1,16,9.000000000000014,0,125.99999999999999,0
1,1,17,48,0,90,0
1,1,18,94,0,54,0
1,1,19,121.39999999999999,0,18,28.600000000000044
1,1,20,121.39999999999999,0,3.6,60
1,1,21,121.39999999999999,0,0,55.60000000000004
1,1,22,121.39999999999999,0,0,38.599999999999994
1,1,23,121.39999999999999,0,0,3.600000000000044
1,1,24,82,0,0,0
