"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,0,3.925231146709438e-13,0,0,0
1,1,2,0,0,0,0,-0
1,1,3,0,0,0,0,-0
1,1,4,0,0,0,0,-0
1,1,5,0,0,0,0,-0
1,1,6,0,0,0,0,-0
1,1,7,0,0,0,0,-0
1,1,8,0,0,0,0,0
1,1,9,0,0,0,0,-0
1,1,10,0,0,0,0,-0
1,1,11,0,0,0,0,-0
1,1,12,9.807659848971423e-14,-9.807659848971423e-14,9.807659848971424e-14,0,0
1,1,13,9.807659848971423e-14,-9.807659848971423e-14,9.807659848971424e-14,0,0
1,1,14,9.807659848971423e-14,-9.807659848971423e-14,9.807659848971424e-14,0,0
1,1,15,9.807659848971423e-14,-9.807659848971423e-14,9.807659848971424e-14,0,0
1,1,16,0,0,0,0,-0
1,1,17,0,0,0,0,-0
1,1,18,0,0,0,0,-0
1,1,19,0,0,0,0,0
1,1,20,0,0,0,0,0
1,1,21,0,0,0,0,0
1,1,22,-1.5692255758354277e-13,1.5692255758354277e-13,-9.807659848971424e-14,-5.884595909382855e-14,5.884595909382857e-14
1,1,23,0,0,0,0,0
1,1,24,0,0,0,0,0
