iteration,scene,rhs,LMAULE,CIPRESES,PEHUENCHE,COLBUN,ELTORO,RAPEL,CANUTILLAR,RALCO,PANGUE,PILMAIQUEN
1,2,47500000,-3492.8571428571427,-1032.142857142857,-828.5714285714284,-7500,-19357.14285714286,-279.99999999999994,-3642.8571428571427,-1207.142857142857,-56.07142857142856,-41.785714285714285
1,3,47857142.85714286,-3492.8571428571427,-1110.7142857142856,-828.5714285714284,-7500,-19357.14285714286,-280.35714285714283,-3642.8571428571427,-1207.142857142857,-56.07142857142856,-42.142857142857146
1,4,50357142.85714285,-3492.8571428571427,-1025,-825,-7500,-19678.571428571428,-279.2857142857143,-3642.8571428571427,-1203.5714285714284,-54.64285714285714,-41.785714285714285
1,5,48214285.71428571,-3492.8571428571427,-1685.7142857142858,-989.2857142857142,-9107.142857142855,-19750,-280.35714285714283,-3642.8571428571427,-1203.5714285714284,-56.07142857142856,-41.785714285714285
1,6,48214285.71428571,-3492.8571428571427,-1700,-1017.8571428571429,-9392.857142857143,-19357.14285714286,-279.2857142857143,-3642.8571428571427,-1203.5714285714284,-56.42857142857143,-41.785714285714285
1,7,50357142.85714285,-3492.8571428571427,-1025,-825,-7500,-19750,-278.9285714285714,-3642.8571428571427,-1203.5714285714284,-54.99999999999999,-41.785714285714285
1,8,50714285.71428571,-3492.8571428571427,-1028.5714285714284,-828.5714285714284,-7500,-19750,-279.99999999999994,-3642.8571428571427,-1207.142857142857,-55.71428571428571,-41.785714285714285
1,9,47857142.85714286,-3492.8571428571427,-1653.5714285714284,-928.5714285714284,-8500,-19357.14285714286,-291.0714285714286,-3642.8571428571427,-1207.142857142857,-56.42857142857143,-41.785714285714285
1,10,47500000,-3492.8571428571427,-1639.2857142857142,-900,-8214.285714285714,-19357.14285714286,-278.9285714285714,-3642.8571428571427,-1203.5714285714284,-56.42857142857143,-41.785714285714285
1,11,47857142.85714286,-3492.8571428571427,-1092.857142857143,-828.5714285714284,-7500,-19357.14285714286,-280.71428571428567,-3642.8571428571427,-1207.142857142857,-55.71428571428571,-42.142857142857146
1,12,47857142.85714286,-3492.8571428571427,-1685.7142857142858,-989.2857142857142,-9107.142857142855,-19357.14285714286,-290.7142857142857,-3642.8571428571427,-1207.142857142857,-56.42857142857143,-41.785714285714285
1,13,48214285.71428571,-3492.8571428571427,-1746.428571428571,-1110.7142857142856,-10321.42857142857,-19357.14285714286,-279.2857142857143,-3642.8571428571427,-1203.5714285714284,-56.42857142857143,-41.785714285714285
1,14,48928571.428571425,-3492.8571428571427,-1842.8571428571427,-1267.8571428571427,-11892.857142857143,-19357.14285714286,-291.42857142857144,-3642.8571428571427,-1207.142857142857,-56.07142857142856,-42.142857142857146
1,15,49642857.14285714,-3492.8571428571427,-1846.428571428571,-1267.8571428571427,-11892.857142857143,-19357.14285714286,-292.5,-3642.8571428571427,-1214.2857142857142,-56.07142857142856,-42.142857142857146
1,16,48928571.428571425,-3492.8571428571427,-1842.8571428571427,-1267.8571428571427,-11892.857142857143,-19357.14285714286,-280.35714285714283,-3642.8571428571427,-1207.142857142857,-56.42857142857143,-42.142857142857146
1,17,48928571.428571425,-3492.8571428571427,-1842.8571428571427,-1267.8571428571427,-11892.857142857143,-19357.14285714286,-280.71428571428567,-3642.8571428571427,-1207.142857142857,-56.42857142857143,-42.142857142857146
1,18,49642857.14285714,-3492.8571428571427,-1853.5714285714284,-1271.4285714285713,-11857.142857142855,-19642.85714285714,-305.7142857142857,-3642.8571428571427,-1271.4285714285713,-57.857142857142854,-43.92857142857143
1,19,49642857.14285714,-3492.8571428571427,-1846.428571428571,-1267.8571428571427,-11892.857142857143,-19357.14285714286,-281.7857142857143,-3642.8571428571427,-1210.7142857142856,-56.07142857142856,-42.142857142857146
