"scenario","stage","block","uid","value"
1,1,1,1,222.55243
1,1,2,1,220.80669
1,1,3,1,219.89673
1,1,4,1,219.89673
1,1,5,1,220.80669
1,1,6,1,224.29817
1,1,7,1,225
1,1,8,1,225
1,1,9,1,225
1,1,10,1,225
1,1,11,1,225
1,1,12,1,225
1,1,13,1,221.92839
1,1,14,1,223.19995
1,1,15,1,225
1,1,16,1,225
1,1,17,1,225
1,1,18,1,225
1,1,19,1,225
1,1,20,1,225
1,1,21,1,211.39601
1,1,22,1,201.48318
1,1,23,1,225
1,1,24,1,225
1,1,1,2,18.947575
1,1,2,2,10.993318
1,1,3,2,7.003276
1,1,4,2,7.003276
1,1,5,2,10.993318
1,1,6,2,26.901833
1,1,7,2,33.26061
1,1,8,2,39.1924
1,1,9,2,32.568615
1,1,10,2,22.05062
1,1,11,2,10.087719
1,1,12,2,0.4414329
1,1,15,2,1.4139777
1,1,16,2,9.73436
1,1,17,2,25.693136
1,1,18,2,42.87038
1,1,19,2,65.84252
1,1,20,2,75.72032
1,1,21,2,104.950134
1,1,22,2,122.79912
1,1,23,2,73.844315
1,1,24,2,68.141396
1,1,7,3,6.5
1,1,8,3,19.5
1,1,9,3,45.5
1,1,10,3,71.5
1,1,11,3,97.5
1,1,12,3,117
1,1,13,3,130
1,1,14,3,123.5
1,1,15,3,110.5
1,1,16,3,91
1,1,17,3,65
1,1,18,3,39
1,1,19,3,13
1,1,20,3,2.6
1,1,7,4,15.33939
1,1,8,4,44.707596
1,1,9,4,54.331387
1,1,10,4,53.449383
1,1,11,4,49.11228
1,1,12,4,43.95857
1,1,13,4,39.27161
1,1,14,4,39.70005
1,1,15,4,39.786022
1,1,16,4,41.26564
1,1,17,4,56.30686
1,1,18,4,74.82962
1,1,19,4,100
1,1,20,4,100
1,1,21,4,100
1,1,22,4,100
1,1,23,4,100
1,1,24,4,93.5984
1,1,19,5,16.357481
1,1,20,5,45.87968
1,1,21,5,50
1,1,22,5,50
1,1,23,5,31.15569
1,1,24,5,14.060213
