"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11","uid:12","uid:13","uid:14"
1,1,1,0,0.48411787962126723,-6.283185307179586,-3.2011664008420797,-1.8248715881481734,3.775592297271272,-0.8787570002094979,6.283185307179586,-4.1298354326477185,-3.7012916166800345,-0.6144339156988151,1.0772352960234994,0.3680039219200438,-4.750039514976258
1,1,2,0,0.49037505654673824,-6.283185307179586,-3.2756372828734466,-1.8484578775086122,3.8858264724751894,-1.6758982476034978,4.117242788833398,-4.452295800722075,-3.911991232431396,-0.647927357501329,1.2394447843494552,0.5108609015357584,-4.762537305773055
1,1,3,0,0.5276427526381535,-6.283185307179586,-3.4788635452491334,-1.9889376296841939,3.6289081531260363,-2.738325677195026,1.6977037340084216,-5.119166432662672,-4.478091111403399,-1.0425945261457872,0.9873018047665455,0.2424611870029904,-5.194321220881945
1,1,4,0,0.5276427526381543,-6.283185307179586,-3.478863545249134,-1.9889376296841974,3.628908153126041,-2.7383256771950304,1.6977037340084058,-5.119166432662672,-4.4780911114033985,-1.042594526145785,0.9873018047665483,0.24246118700298772,-5.194321220881947
1,1,5,0,0.49037505654673846,-6.283185307179586,-3.2756372828734457,-1.8484578775086116,3.8858264724751894,-1.6758982476034883,4.117242788833426,-4.452295800722072,-3.9119912324313932,-0.647927357501329,1.239444784349459,0.5108609015357652,-4.762537305773052
1,1,6,0,0.5358589224988871,-6.283185307179586,-3.4042109123873217,-2.0199082993772475,3.151233187145251,-1.173650879014734,6.283185307179586,-4.6572162035906,-4.280770029242736,-1.2355031924735707,0.37437256028243654,-0.3362344983053402,-5.461261043572766
1,1,7,0,0.6587559031472291,-6.283185307179586,-3.8955450512808305,-2.483165736656379,1.8358213312123794,-1.7888710384198614,6.283185307179586,-5.721828135112923,-5.5155083296478296,-2.588043749343918,-1.0674136999941943,-1.7168608105745857,-6.2831853071795845
1,1,8,0,0.7397307394313463,-6.283185307179586,-4.4891730149979825,-3.045255052835047,0.449754946422606,-2.1951054251079634,6.283185307179586,-6.283185307179586,-6.283185307179586,-3.7767691987585494,-2.6018999379954337,-3.0874845582115227,-6.2831853071795845
1,1,9,0,0.7954180158379184,-5.215431100483787,-4.524884509204811,-3.155225796650805,-0.1413792690854872,-2.203840925205929,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.135571804770876,-3.307049447462748,-3.7218171907645994,-6.2831853071795845
1,1,10,0,0.7848783688975344,-2.93645790347462,-4.150339179394252,-2.958581568343858,-0.3357409638569771,-2.1122222226586986,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.260368765189221,-3.5849217292090647,-3.965001402163895,-6.2831853071795845
1,1,11,0,0.7213788418919037,-0.5417040105924379,-3.7194710019567716,-2.7192215125159738,-0.40708672368012605,-2.0068262124997203,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.324732263639823,-3.714746742318241,-4.080555832836151,-6.2831853071795845
1,1,12,0,0.6648498079977222,1.314218028034422,-3.3582985744160654,-2.506136575558761,-0.3983246995860817,-1.9184786973301953,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.330199052222725,-3.734001763125414,-4.101714284528962,-6.2831853071795845
1,1,13,0,0.6326446926491301,2.506940627043258,-3.142594924255284,-2.384740108981951,-0.4311356365749369,-1.8657147539847316,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.3560891946056435,-3.7895678650006706,-4.155072388583546,-6.2831853071795845
1,1,14,0,0.640525889452132,1.977417467652447,-3.212829797036141,-2.4144481051783586,-0.35675173850318004,-1.8828951255061348,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.309775698422707,-3.6976906820573268,-4.069514632167185,-6.2831853071795845
1,1,15,0,0.6558516262530983,0.9186750860103436,-3.352355792444564,-2.472218129448895,-0.19725697058568975,-1.9170250148773254,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.211878916894936,-3.490873660305747,-3.8856858389588287,-6.2831853071795845
1,1,16,0,0.6950272347131392,-0.8128793672538102,-3.6377551925021177,-2.6198897148963765,-0.08433824967964178,-1.9868374532122426,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.127092064644318,-3.3247375661284857,-3.7379317559247984,-6.2831853071795845
1,1,17,0,0.8092022874431248,-3.599657343092646,-4.295807956774177,-3.0502700387242605,-0.37731392493987875,-2.1478057944827595,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.280792118989238,-3.621232810277151,-3.9972010545256706,-6.2831853071795845
1,1,18,0,0.34775985753936767,-6.283185307179586,-5.198969545288008,-3.7505381319368345,-0.8747015230704008,-2.368730970540848,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.554455195115103,-4.123175645312135,-4.442739174781967,-6.2831853071795845
1,1,19,0,0.06479508746492862,-6.283185307179586,-5.712815764737316,-4.259915474338772,-1.8326214109159225,-2.4944244986341126,6.283185307179586,-6.283185307179586,-6.283185307179586,-5.112989414002715,-5.21619631939229,-5.4214543567882325,-6.2831853071795845
1,1,20,0,-0.1503384631781166,-6.283185307179586,-6.106744082964848,-4.6504100042569965,-2.545136122723598,-2.6179866136193963,6.189513386380604,-6.283185307179586,-6.283185307179586,-5.541193314805589,-6.027363223974416,-6.149800253793475,-6.2831853071795845
1,1,21,0,-0.26436385522541905,-6.283185307179586,-6.283185307179586,-4.8251303760236075,-2.7933343668298765,-2.6788091595281585,6.128690840471842,-6.283185307179586,-6.283185307179586,-5.702209571667991,-6.278432760761845,-6.283185307179586,-6.2831853071795845
1,1,22,0,-0.30910368344415273,-6.283185307179586,-6.283185307179586,-4.858717315329019,-2.8733045404625086,-2.6788091595281585,6.128690840471842,-6.283185307179586,-6.283185307179586,-5.780581212585758,-6.283185307179586,-6.283185307179586,-6.2831853071795845
1,1,23,0,-0.006950847814562058,-6.283185307179586,-5.843590593844357,-4.390809198495137,-2.0718459228026713,-2.527272749870625,6.280227250129375,-6.283185307179586,-6.283185307179586,-5.259825920379387,-5.492651709963269,-5.667036510157396,-6.2831853071795845
1,1,24,0,0.20632825980142352,-6.283185307179586,-5.455778964164316,-4.0050441954916325,-1.3400680126387012,-2.4315499243140954,6.283185307179586,-6.283185307179586,-6.283185307179586,-4.822158678378227,-4.650966351147013,-4.919365739056172,-6.2831853071795845
