"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11","uid:12","uid:13","uid:14"
1,1,1,0,-8.875500000000002,-18.912727327743223,-18.34845647086553,-16.182092869580405,-29.319383876546926,-25.905427860057994,-25.905427860057994,-29.880860255453296,-30.757475312097057,-30.63726689706236,-31.437421447285967,-31.693213754229877,-33.260039020329124
1,1,2,0,-8.875500000000002,-18.4679235261761,-17.895644313678748,-15.792722375363255,-28.40619518197101,-25.144139460662245,-25.144139460662245,-28.957294353162514,-29.800890876674654,-29.68245874970396,-30.437245886008554,-30.685034033317216,-32.19296367819523
1,1,3,0,-8.875500000000002,-18.25074859150664,-17.661877875364706,-15.58976532997597,-27.939740624140303,-24.743684710148006,-24.743684710148006,-28.46915128385933,-29.288687781963816,-29.1731877901405,-29.93190770729254,-30.169301703228875,-31.631892660361817
1,1,4,0,-8.875500000000002,-18.25074859150664,-17.661877875364706,-15.58976532997597,-27.939740624140303,-24.743684710148006,-24.743684710148006,-28.46915128385933,-29.288687781963816,-29.1731877901405,-29.93190770729254,-30.169301703228875,-31.631892660361817
1,1,5,0,-8.875500000000002,-18.4679235261761,-17.895644313678748,-15.792722375363255,-28.40619518197101,-25.144139460662245,-25.144139460662245,-28.957294353162514,-29.800890876674654,-29.68245874970396,-30.437245886008554,-30.685034033317216,-32.19296367819523
1,1,6,0,-8.875500000000002,-19.357531129310345,-18.80126862805232,-16.57146336379756,-30.232572571122866,-26.66671625945376,-26.66671625945376,-30.80442615774409,-31.714059747519478,-31.592075044420778,-32.43759700856339,-32.70139347514256,-34.327114362463035
1,1,7,0,-8.875500000000002,-19.527895784829088,-19.13591750816757,-16.728,-29.37407317176143,-27.22568917568556,-27.225689175685563,-31.481407333411543,-32.24371150684113,-31.51794642507332,-31.94283158381516,-32.330931653090424,-34.850453328357816
1,1,8,0,-8.875500000000002,-19.4829476339941,-19.428403805898984,-16.728,-27.069156677003146,-27.727796650425482,-27.727796650425482,-32.09378845812614,-32.53291374362282,-30.650003312680187,-30.283174039177556,-30.8956223944077,-35.084887292621296
1,1,9,0,-8.875500000000002,-17.675378482749075,-19.394326726748535,-16.728,-26.945475238567987,-28.220837912857096,-28.220837912857096,-32.864126434202745,-33.25943896384471,-31.02725036110306,-30.474674824185094,-31.173490329181575,-35.95944747146726
1,1,10,0,-8.875500000000002,-15.50306618413749,-19.22769404696032,-16.728,-27.79152678547433,-28.602311781865886,-28.602311781865886,-33.53393810654533,-34.01286592926705,-31.85549437199087,-31.441963811567344,-32.13556954447644,-36.909208926900774
1,1,11,0,-8.875500000000002,-13.19576252275004,-19.014684431554105,-16.728,-28.940337095962942,-28.94455306300254,-28.94455306300254,-34.16827555796066,-34.78398078849296,-32.84147170717153,-32.63628730826814,-33.30549127744669,-37.88423142257035
1,1,12,0,-8.875500000000002,-11.410244950405126,-18.833576704346573,-16.728,-29.973826931413942,-29.182391113669393,-29.182391113669393,-34.62650489125932,-35.36187615841196,-33.65295610257773,-33.65935327724729,-34.30042444196006,-38.62277006402528
1,1,13,0,-8.69375284665529,-10.165846938710192,-18.706391664245132,-16.728,-30.94802275328365,-29.44339327054949,-29.44339327054949,-35.091717422756574,-35.93497601410731,-34.43287176133498,-34.62836246148253,-35.245392988963076,-39.3433928894301
1,1,14,0,-8.768990940110896,-10.71746514221584,-18.74600158913208,-16.728,-30.65231983791679,-29.302940463064434,-29.302940463064438,-34.856540527722515,-35.67161112252643,-34.143849053224514,-34.302409066166156,-34.91579104334644,-39.02128206901358
1,1,15,0,-8.875500000000002,-11.797093151957725,-18.819201330516748,-16.728,-30.1606686932898,-29.039280493336488,-29.039280493336488,-34.41567160227776,-35.18685447856968,-33.63616284601806,-33.72860387603852,-34.33775787239448,-38.41392733823209
1,1,16,0,-8.875500000000002,-13.467654619078392,-18.957070214830164,-16.728,-29.46156075872161,-28.764487242880765,-28.764487242880765,-33.92379265248218,-34.612801160857536,-32.971360731314995,-32.959704327795954,-33.57428986748003,-37.69678868267481
1,1,17,0,-8.875500000000002,-16.139808378404272,-19.302834778053125,-16.728,-27.341824409553915,-28.534863751184965,-28.534863751184965,-33.39147960492557,-33.81580438775328,-31.534319151513284,-31.01653986310913,-31.72911581642065,-36.651325086788496
1,1,18,0,-8.875500000000002,-18.926442271151075,-19.69095101138934,-16.728,-24.89301571267924,-28.33752078687424,-28.33752078687424,-32.886149043382915,-33.01042691486911,-29.950894722873283,-28.807471772144204,-29.647407724944557,-35.56327686155988
1,1,19,0,-8.875500000000002,-22.3147647475346,-20.088870892813386,-16.728,-22.083110125966122,-26.581007805109305,-23.69963768136673,-31.795758069356843,-31.764379854713408,-28.024519615819152,-26.46200939878234,-27.44497524253551,-34.397513742455246
