"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,22.5,52.20381915104586,45,11,19,34,11,6,7,15,17
1,1,2,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,3,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,4,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,5,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,6,23.4,51.27799062309413,46.8,11.4,19.8,35.4,11.4,6.2,7.3,15.6,17.7
1,1,7,26.1,55.525981444293386,52.2,12.8,22,39.4,12.8,7,8.1,17.4,15.197046651936704
1,1,8,30.6,65.46410760752539,61.2,15,25.8,40.386580848386735,13.0494929370596,8.2,9.5,20.4,9.182520398161207
1,1,9,33.3,79.9,66.6,16.3,28.1,40.242965910701116,11.181410435823972,8.9,10.3,22.2,7.359830229340236
1,1,10,34.7,83.2,69.3,16.9,29.3,41.74921215986815,10.531663154008257,9.2,10.8,23.1,6.661065183080545
1,1,11,35.6,85.3,71.1,17.4,30,43.481962576163276,10.19655877305026,9.5,11.1,23.7,6.329031303785515
1,1,12,36,86.4,72,17.6,30.4,44.934429263068424,10.168096292793573,9.6,11.2,24,6.26823464930356
1,1,13,36.5,87.5,72.9,17.8,30.8,45.80188852133938,10.033300945352963,9.7,11.3,24.3,6.114915575530244
1,1,14,36,86.4,72,17.6,30.4,45.51943669170264,10.274429159977503,9.6,11.2,24,6.360757068594911
1,1,15,35.1,84.2,70.2,17.2,29.6,44.95832835442465,10.78412240477248,9.4,10.9,23.4,6.888970370153313
1,1,16,34.2,82.1,68.4,16.7,28.9,43.81058536676374,11.2255596529144,9.1,10.6,22.8,7.313526668739685
1,1,17,34.7,83.2,69.3,16.9,29.3,41.164204731233944,10.425330286824327,9.2,10.8,23.1,6.568542763789193
1,1,18,35.6,78.83402788680948,71.1,17.4,30,37.5321109716381,9.000521226971856,9.5,11.1,23.7,5.288334384223955
1,1,19,39.2,48.40027476079623,78.3,19.1,33.1,35.46566165538137,6.092549035127151,10.4,12.2,26.1,2.476096058822339
1,1,20,41.9,34.61030673247639,83.7,20.5,35.3,33.63419693728394,3.8631331929712953,11.2,13,27.9,0.38326835637638723
1,1,21,43.7,30.402694610062973,85.99661607423785,21.3,36.9,32.76407733525522,3.0248124929015265,11.6,13.6,26.813144775594104,0
1,1,22,45,30.17670164032648,84.9452737758093,22,38,32.76407733525522,2.6167756265623385,12,13.329739911329023,26.175487577470463,0
1,1,23,40.1,34.27323570527398,80.1,19.6,33.8,34.931937928625715,5.3280542864591,10.7,12.5,26.7,1.7704407707091327
1,1,24,37.4,37.61807260632493,74.7,18.3,31.5,36.4993435249612,7.606740400902586,9.9,11.6,24.9,3.9187965292897395
