"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,22.5,52.20381915104587,45,11,19,34,11,6,7,15,17
1,1,2,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,3,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,4,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,5,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,6,23.4,51.27799062309413,46.8,11.4,19.8,35.4,11.4,6.2,7.3,15.6,17.7
1,1,7,26.1,55.52598144429338,52.2,12.8,22,39.4,12.8,7,8.1,17.4,15.197046651936702
1,1,8,30.6,65.4641076075254,61.2,15,25.8,40.38658084838673,13.049492937059597,8.2,9.5,20.4,9.182520398161211
1,1,9,33.3,79.9,66.6,16.3,28.1,40.242965910701095,11.181410435823969,8.9,10.3,22.2,7.359830229340234
1,1,10,34.7,83.2,69.3,16.9,29.3,41.74921215986813,10.531663154008251,9.2,10.8,23.1,6.66106518308054
1,1,11,35.6,85.3,71.1,17.4,30,43.48196257616325,10.196558773050256,9.5,11.1,23.7,6.329031303785519
1,1,12,36,86.4,72,17.6,30.4,44.9344292630684,10.168096292793573,9.6,11.2,24,6.268234649303557
1,1,13,36.5,87.5,72.9,17.8,30.8,45.80188852133936,10.03330094535296,9.7,11.3,24.3,6.114915575530249
1,1,14,36,86.4,72,17.6,30.4,45.519436691702616,10.274429159977501,9.6,11.2,24,6.360757068594913
1,1,15,35.1,84.2,70.2,17.2,29.6,44.95832835442465,10.784122404772472,9.4,10.9,23.4,6.888970370153316
1,1,16,34.2,82.1,68.4,16.7,28.9,43.810585366763746,11.225559652914397,9.1,10.6,22.8,7.313526668739698
1,1,17,34.7,83.2,69.3,16.9,29.3,41.16420473123392,10.425330286824321,9.2,10.8,23.1,6.56854276378919
1,1,18,35.6,78.83402788680948,71.1,17.4,30,37.532110971638076,9.000521226971856,9.5,11.1,23.7,5.288334384223957
1,1,19,39.2,48.40027476079625,78.3,19.1,33.1,35.46566165538136,6.092549035127153,10.4,12.2,26.1,2.476096058822343
1,1,20,41.9,34.61030673247641,83.7,20.5,35.3,33.63419693728394,3.8631331929713,11.2,13,27.9,0.3832683563763906
1,1,21,43.7,30.402694610062984,87.15930592554044,21.3,36.9,27.939244950564813,5.814967187946038,11.6,13.6,26.813144775594125,0.8719878383433065
1,1,22,45,30.1767016403265,86.10796362711191,22,38,27.939244950564813,5.406930321606852,12,13.32973991132903,26.175487577470467,0.8719878383433065
1,1,23,40.1,34.27323570527398,80.1,19.6,33.8,34.931937928625686,5.328054286459096,10.7,12.5,26.7,1.770440770709129
1,1,24,37.4,37.61807260632496,74.7,18.3,31.5,36.49934352496119,7.606740400902587,9.9,11.6,24.9,3.918796529289734
