"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,0,99.04561700861568,0,100,40.65820214243022
1,1,2,0,98.91245508693207,0,100,32.88754491306781
1,1,3,0,101.71675043313398,0,100,25.183249566866007
1,1,4,0,101.71675043313401,0,100,25.183249566865946
1,1,5,0,98.91245508693207,0,100,32.88754491306792
1,1,6,0,103.94568187376507,0,100,42.332308749329094
1,1,7,0,116.19812690066126,6.5,100,45.82490119556881
1,1,8,1.1516161692904898,130,19.5,100,48.13108562184246
1,1,9,0.703529696015682,130,45.5,100,48.18067687984964
1,1,10,0,116.28138114505072,71.5,100,47.66055935190624
1,1,11,0,99.14532432669019,97.5,100,47.06222832630886
1,1,12,0,85.01007894198203,117,100,46.56068126318354
1,1,13,0,76.48896362204482,130,100,46.261141420177786
1,1,14,0,79.49594887721109,123.5,100,46.35867404306398
1,1,15,0,85.57899239215537,110.5,100,46.552428737195065
1,1,16,0,97.20091914574496,91,100,46.94875254267288
1,1,17,0,121.79551120982165,65,100,47.862566572025806
1,1,18,10.938240125502404,130,39,100,49.11675434414098
1,1,19,18.004267540137334,130,13,100,49.830313969989774
1,1,20,23.39090521910805,130,2.6,100,50
1,1,21,26.10134528805172,130,0,100,50
1,1,22,27.008055866752905,130,0,100,50
1,1,23,19.803668691067934,130,0,100,50
1,1,24,14.469576782774642,130,0,100,49.47337627870383
