"scenario","stage","block","uid:1"
1,1,1,-33.36248724016004
1,1,2,-33.36248724016004
1,1,3,-33.36248724016004
1,1,4,-33.36248724016004
1,1,5,-33.36248724016004
1,1,6,-33.36248724016004
1,1,7,-37.19806297805789
1,1,8,-37.19806297805789
1,1,9,-37.19806297805789
1,1,10,-37.19806297805789
1,1,11,-37.19806297805789
1,1,12,-37.19806297805789
1,1,13,-33.697597945396126
1,1,14,-33.697597945396126
1,1,15,-37.19806297805789
1,1,16,-37.19806297805789
1,1,17,-37.19806297805789
1,1,18,-37.19806297805789
1,1,19,-40.0619391177405
1,1,20,-40.0619391177405
1,1,21,-1000
1,1,22,-1000
1,1,23,-40.0619391177405
1,1,24,-41.3656761078372
