"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11","uid:12","uid:13","uid:14","uid:15","uid:16","uid:17","uid:18","uid:19","uid:20"
1,1,1,-118.16144952296357,-552.8159086710411,-979.5972207978668,-186.08547090355796,-83.73506255494702,665.7899469230033,24.163426400917945,103.39934365640784,242.6428232835373,-16.228440588618426,-6.086956592146148,-1.4787971231666328,-1.341490103045228,89.77631501578564,-6.400721616492381,1.0986112863350626,7.43098263154345,5.676095726904201,-0.902843016593219,-12.311345637557269
1,1,2,-5.834284711239154,-28.145173480653582,-46.544442788157006,-9.953641535354778,-4.796798281181229,30.555608314790568,1.215518186387014,1.0822689975765516,4.3926548220083665,-2.4737773811585466,-0.9278633677413126,-0.22541998749884454,-0.20448963385236552,0,0.2995079860169004,0.16746647565923561,1.132739566276469,0.8652339173213138,-0.13762459929463206,-1.8766762094920635
1,1,3,-5.834284711239102,-28.145173480653405,-46.54444278815641,-9.953641535354768,-4.796798281181246,30.55560831479006,1.2155181863870075,1.082268997576537,4.3926548220082875,-2.4737773811586137,-0.927863367741312,-0.22541998749888648,-0.2044896338523523,0,0.299507986016896,0.16746647565923548,1.1327395662764592,0.8652339173213132,-0.13762459929465767,-1.8766762094920473
1,1,4,-5.834284711239154,-28.145173480653582,-46.544442788157006,-9.953641535354778,-4.796798281181229,30.555608314790568,1.215518186387014,1.0822689975765516,4.3926548220083665,-2.4737773811585466,-0.9278633677413126,-0.22541998749884454,-0.20448963385236552,0,0.2995079860169004,0.16746647565923561,1.132739566276469,0.8652339173213138,-0.13762459929463206,-1.8766762094920635
1,1,5,-5.834284711239102,-28.145173480653405,-46.54444278815643,-9.953641535354768,-4.796798281181246,30.555608314790085,1.2155181863870075,1.082268997576537,4.3926548220083275,-2.473777381158605,-0.9278633677413161,-0.22541998749883999,-0.20448963385236005,0,0.299507986016896,0.16746647565923625,1.1327395662764494,0.8652339173213169,-0.13762459929462925,-1.876676209492031
1,1,6,-118.16144952296357,-552.8159086710411,-979.5972207978668,-186.08547090355796,-83.73506255494702,665.7899469230033,24.163426400917945,103.39934365640784,242.6428232835373,-16.228440588618426,-6.086956592146148,-1.4787971231666328,-1.341490103045228,89.77631501578564,-6.400721616492381,1.0986112863350626,7.43098263154345,5.676095726904201,-0.902843016593219,-12.311345637557269
1,1,7,-134.69817677481169,-707.5155557534143,-979.5972207978668,-258.88536337538216,-155.74185556878024,595.1742163793549,24.11151784121558,0.3247211232953302,-490.33252221551083,-366.8668566184322,0.1259366752014399,-84.07932640798157,-76.27252074002425,249.32982517331345,-97.15647682041823,-0.022729824115771017,-702.5372343818481,-0.1174361297226501,-51.33255366683202,-699.9808372395786
1,1,8,-99.44448403707523,-552.2761709831585,-662.1044230397266,-215.60716682538734,-138.31692362754768,362.865979759664,17.995454382641867,-37.76931578882016,-1180.0198831943517,-351.1247271903634,-116.94760979880694,-37.42076984041682,-33.94623346423383,520.6806089410276,-213.53384607559144,0,0,109.05381337977018,-22.84632570397253,-311.53700822890966
1,1,9,-43.02633668370331,-336.04503379501824,-98.92452733648923,-164.2226897582585,-135.53831703166625,-73.83287997891505,6.396365886539132,-234.42494777935002,-1872.419390157284,-484.6698106425147,-161.42689906755757,-51.653204767942974,-46.85718000207069,467.03875482390146,-247.03450103684625,0,0,150.53081423104055,-31.535586916436007,-430.0254897872234
1,1,10,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,11,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,12,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,13,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,14,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,15,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,16,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,17,-51.28891550010563,-398.9624205457913,-118.44928712955594,-196.63536492015004,-160.30731373540578,-88.40529478070813,8.138873338723853,-308.10381754835026,-2131.8333341428724,-554.6194945606052,-184.72474085119163,-59.10802301231475,-53.619814807182316,446.9413330330331,-259.58583439599136,0,0,172.25608501164743,-36.08694185651753,-492.0886643997744
1,1,18,-99.44448403707523,-552.2761709831585,-662.1044230397266,-215.60716682538734,-138.31692362754768,362.865979759664,17.995454382641867,-37.76931578882016,-1180.0198831943517,-351.1247271903634,-116.94760979880694,-37.42076984041682,-33.94623346423383,520.6806089410276,-213.53384607559144,0,0,109.05381337977018,-22.84632570397253,-311.53700822890966
1,1,19,-99.44448403707523,-552.2761709831585,-662.1044230397266,-215.60716682538734,-138.31692362754768,362.865979759664,17.995454382641867,-37.76931578882016,-1180.0198831943517,-351.1247271903634,-116.94760979880694,-37.42076984041682,-33.94623346423383,520.6806089410276,-213.53384607559144,0,0,109.05381337977018,-22.84632570397253,-311.53700822890966
