"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11","uid:12","uid:13","uid:14"
1,1,1,-354.451510663653,35,1000,240.82116909943207,128.91541235027466,141.47342553808662,144.3935677228414,45,155.74043373182556,153.20491689086623,147.44164210219094,142.60080529243538,143.4816960523714,150.38060596052733
1,1,2,15.770623552715039,35,80.85087251879717,46.00929657568562,40.37998390151809,42.29426080364313,45,45,44.469047837169214,44.08254710245839,43.2040240715009,42.4661125919314,42.60039090569185,43.65202412899836
1,1,3,15.770623552715039,35,80.85087251879717,46.00929657568562,40.37998390151809,42.29426080364313,45,45,44.469047837169214,44.08254710245839,43.2040240715009,42.4661125919314,42.60039090569185,43.65202412899836
1,1,4,15.770623552715058,35,80.85087251879716,46.00929657568562,40.37998390151809,42.29426080364313,45,45,44.469047837169214,44.08254710245839,43.2040240715009,42.4661125919314,42.60039090569185,43.65202412899836
1,1,5,15.770623552715051,35,80.85087251879717,46.00929657568562,40.37998390151809,42.29426080364313,45,45,44.469047837169214,44.08254710245839,43.2040240715009,42.4661125919314,42.60039090569185,43.65202412899836
1,1,6,-354.4515106636531,35,1000,240.82116909943213,128.91541235027475,141.4734255380867,144.39356772284145,45,155.74043373182562,153.20491689086626,147.441642102191,142.60080529243547,143.4816960523715,150.38060596052742
1,1,7,-408.955356339763,35,1000,321.34201205459965,209.67665443422783,493.5683073892578,321.0391853834776,45,493.27312874788055,493.3255875679878,493.44482739731313,557.6672489321395,607.7516726669082,1000
1,1,8,20,347.7617589472775,1000,586.2356114557114,502.89499132503425,774.6049520292031,621.4583159561689,45,1000,1000,889.2712308776864,803.1331508262716,825.4239775162291,1000
1,1,9,20,161.811664357881,259.26209281250607,343.4513476419981,313.828472429629,688.8792877280308,562.0700991527519,45,1000,1000,847.1571854462566,728.2577639167812,759.0265760062516,1000
1,1,10,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,11,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,12,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,13,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,14,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,15,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,16,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,17,-134.04452088610114,35,151.68424496643934,252.48995500639555,214.79717232964595,643.9769748421818,539.8197488964073,45,1000,1000,825.0982365857684,689.0387263290728,724.2482290349865,1000
1,1,18,20,347.7617589472775,1000,586.2356114557114,502.89499132503425,774.6049520292031,621.4583159561689,45,1000,1000,889.2712308776864,803.1331508262716,825.4239775162291,1000
1,1,19,20,347.7617589472775,1000,586.2356114557114,502.89499132503425,774.6049520292031,621.4583159561689,45,1000,1000,889.2712308776864,803.1331508262716,825.4239775162291,1000
1,1,20,20,362.79400594980694,1000,637.8726017229044,539.2066282224474,791.0692060551407,875.168003370215,45,1000,1000,897.3595478093227,817.5135280495642,838.1760943301841,1000
1,1,21,20,469.0421290355344,1000,1000,798.6619540557635,951.2764201417534,1000,45,1000,1000,976.063795218627,978.6283018234626,1000,1000
1,1,22,20,469.12952600383636,1000,1000,799.1691298290305,956.0004397736003,1000,45,1000,1000,978.3845422086487,1000,1000,1000
1,1,23,20,362.79400594980694,1000,637.8726017229044,539.2066282224474,791.0692060551407,875.168003370215,45,1000,1000,897.3595478093227,817.5135280495642,838.1760943301841,1000
1,1,24,20,347.7617589472775,1000,586.2356114557114,502.89499132503425,774.6049520292031,621.4583159561689,45,1000,1000,889.2712308776864,803.1331508262716,825.4239775162291,1000
