"scenario","stage","block","uid","value"
1,1,1,1,22.5
1,1,2,1,21.6
1,1,3,1,21.2
1,1,4,1,21.2
1,1,5,1,21.6
1,1,6,1,23.4
1,1,7,1,26.1
1,1,8,1,30.6
1,1,9,1,33.3
1,1,10,1,34.7
1,1,11,1,35.6
1,1,12,1,36
1,1,13,1,36.5
1,1,14,1,36
1,1,15,1,35.1
1,1,16,1,34.2
1,1,17,1,34.7
1,1,18,1,35.6
1,1,19,1,39.2
1,1,20,1,41.9
1,1,21,1,43.7
1,1,22,1,45
1,1,23,1,40.1
1,1,24,1,37.4
1,1,1,2,54
1,1,2,2,51.8
1,1,3,2,50.8
1,1,4,2,50.8
1,1,5,2,51.8
1,1,6,2,56.2
1,1,7,2,62.6
1,1,8,2,73.4
1,1,9,2,79.9
1,1,10,2,83.2
1,1,11,2,85.3
1,1,12,2,86.4
1,1,13,2,87.5
1,1,14,2,86.4
1,1,15,2,84.2
1,1,16,2,82.1
1,1,17,2,83.2
1,1,18,2,85.3
1,1,19,2,93.9
1,1,20,2,100.4
1,1,21,2,102.64613
1,1,22,2,99.2823
1,1,23,2,96.1
1,1,24,2,89.6
1,1,1,3,45
1,1,2,3,43.2
1,1,3,3,42.3
1,1,4,3,42.3
1,1,5,3,43.2
1,1,6,3,46.8
1,1,7,3,52.2
1,1,8,3,61.2
1,1,9,3,66.6
1,1,10,3,69.3
1,1,11,3,71.1
1,1,12,3,72
1,1,13,3,72.9
1,1,14,3,72
1,1,15,3,70.2
1,1,16,3,68.4
1,1,17,3,69.3
1,1,18,3,71.1
1,1,19,3,78.3
1,1,20,3,83.7
1,1,21,3,87.3
1,1,22,3,90
1,1,23,3,80.1
1,1,24,3,74.7
1,1,1,4,11
1,1,2,4,10.6
1,1,3,4,10.3
1,1,4,4,10.3
1,1,5,4,10.6
1,1,6,4,11.4
1,1,7,4,12.8
1,1,8,4,15
1,1,9,4,16.3
1,1,10,4,16.9
1,1,11,4,17.4
1,1,12,4,17.6
1,1,13,4,17.8
1,1,14,4,17.6
1,1,15,4,17.2
1,1,16,4,16.7
1,1,17,4,16.9
1,1,18,4,17.4
1,1,19,4,19.1
1,1,20,4,20.5
1,1,21,4,21.3
1,1,22,4,22
1,1,23,4,19.6
1,1,24,4,18.3
1,1,1,5,19
1,1,2,5,18.2
1,1,3,5,17.9
1,1,4,5,17.9
1,1,5,5,18.2
1,1,6,5,19.8
1,1,7,5,22
1,1,8,5,25.8
1,1,9,5,28.1
1,1,10,5,29.3
1,1,11,5,30
1,1,12,5,30.4
1,1,13,5,30.8
1,1,14,5,30.4
1,1,15,5,29.6
1,1,16,5,28.9
1,1,17,5,29.3
1,1,18,5,30
1,1,19,5,33.1
1,1,20,5,35.3
1,1,21,5,36.9
1,1,22,5,38
1,1,23,5,33.8
1,1,24,5,31.5
1,1,1,6,34
1,1,2,6,32.6
1,1,3,6,31.9
1,1,4,6,31.9
1,1,5,6,32.6
1,1,6,6,35.4
1,1,7,6,39.4
1,1,8,6,46.2
1,1,9,6,50.3
1,1,10,6,52.4
1,1,11,6,53.7
1,1,12,6,54.4
1,1,13,6,55.1
1,1,14,6,54.4
1,1,15,6,53
1,1,16,6,51.7
1,1,17,6,52.4
1,1,18,6,53.7
1,1,19,6,59.2
1,1,20,6,63.2
1,1,21,6,65.9
1,1,22,6,68
1,1,23,6,60.5
1,1,24,6,56.4
1,1,1,7,11
1,1,2,7,10.6
1,1,3,7,10.3
1,1,4,7,10.3
1,1,5,7,10.6
1,1,6,7,11.4
1,1,7,7,12.8
1,1,8,7,15
1,1,9,7,16.3
1,1,10,7,16.9
1,1,11,7,17.4
1,1,12,7,17.6
1,1,13,7,17.8
1,1,14,7,17.6
1,1,15,7,17.2
1,1,16,7,16.7
1,1,17,7,16.9
1,1,18,7,17.4
1,1,19,7,19.1
1,1,20,7,20.5
1,1,21,7,21.3
1,1,22,7,22
1,1,23,7,19.6
1,1,24,7,18.3
1,1,1,8,6
1,1,2,8,5.8
1,1,3,8,5.6
1,1,4,8,5.6
1,1,5,8,5.8
1,1,6,8,6.2
1,1,7,8,7
1,1,8,8,8.2
1,1,9,8,8.9
1,1,10,8,9.2
1,1,11,8,9.5
1,1,12,8,9.6
1,1,13,8,9.7
1,1,14,8,9.6
1,1,15,8,9.4
1,1,16,8,9.1
1,1,17,8,9.2
1,1,18,8,9.5
1,1,19,8,10.4
1,1,20,8,11.2
1,1,21,8,11.6
1,1,22,8,12
1,1,23,8,10.7
1,1,24,8,9.9
1,1,1,9,7
1,1,2,9,6.7
1,1,3,9,6.6
1,1,4,9,6.6
1,1,5,9,6.7
1,1,6,9,7.3
1,1,7,9,8.1
1,1,8,9,9.5
1,1,9,9,10.3
1,1,10,9,10.8
1,1,11,9,11.1
1,1,12,9,11.2
1,1,13,9,11.3
1,1,14,9,11.2
1,1,15,9,10.9
1,1,16,9,10.6
1,1,17,9,10.8
1,1,18,9,11.1
1,1,19,9,12.2
1,1,20,9,13
1,1,21,9,13.6
1,1,22,9,14
1,1,23,9,12.5
1,1,24,9,11.6
1,1,1,10,15
1,1,2,10,14.4
1,1,3,10,14.1
1,1,4,10,14.1
1,1,5,10,14.4
1,1,6,10,15.6
1,1,7,10,17.4
1,1,8,10,20.4
1,1,9,10,22.2
1,1,10,10,23.1
1,1,11,10,23.7
1,1,12,10,24
1,1,13,10,24.3
1,1,14,10,24
1,1,15,10,23.4
1,1,16,10,22.8
1,1,17,10,23.1
1,1,18,10,23.7
1,1,19,10,26.1
1,1,20,10,27.9
1,1,21,10,29.1
1,1,22,10,30
1,1,23,10,26.7
1,1,24,10,24.9
1,1,1,11,17
1,1,2,11,16.3
1,1,3,11,15.9
1,1,4,11,15.9
1,1,5,11,16.3
1,1,6,11,17.7
1,1,7,11,19.7
1,1,8,11,23.1
1,1,9,11,25.2
1,1,10,11,26.2
1,1,11,11,26.9
1,1,12,11,27.2
1,1,13,11,27.5
1,1,14,11,27.2
1,1,15,11,26.5
1,1,16,11,25.8
1,1,17,11,26.2
1,1,18,11,26.9
1,1,19,11,29.6
1,1,20,11,31.6
1,1,21,11,33
1,1,22,11,34
1,1,23,11,30.3
1,1,24,11,28.2
