"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,0,99.04561700861564,0,100,40.65820214243021
1,1,2,0,98.91245508693206,0,100,32.88754491306797
1,1,3,0,101.71675043313392,0,100,25.183249566866095
1,1,4,0,101.71675043313392,0,100,25.183249566866102
1,1,5,0,98.91245508693206,0,100,32.88754491306797
1,1,6,0,103.94568187376501,0,100,42.33230874932908
1,1,7,0,116.19812690066126,6.5,100,45.82490119556881
1,1,8,1.1516161692904792,130,19.5,100,48.13108562184245
1,1,9,0.7035296960156838,130,45.5,100,48.180676879849635
1,1,10,0,116.28138114505073,71.5,100,47.66055935190624
1,1,11,0,99.14532432669017,97.5,100,47.062228326308855
1,1,12,0,85.01007894198203,117,100,46.56068126318354
1,1,13,0,76.48896362204482,130,100,46.26114142017778
1,1,14,0,79.4959488772111,123.5,100,46.35867404306398
1,1,15,0,85.57899239215539,110.5,100,46.55242873719506
1,1,16,0,97.20091914574499,91,100,46.94875254267288
1,1,17,0,121.79551120982167,65,100,47.8625665720258
1,1,18,10.938240125502382,130,39,100,49.11675434414097
1,1,19,18.004267540137302,130,13,100,49.83031396998977
1,1,20,23.39090521910804,130,2.6,100,50
1,1,21,26.101345288051714,130,0,100,50
1,1,22,27.008055866752883,130,0,100,50
1,1,23,19.803668691067916,130,0,100,50
1,1,24,14.469576782774624,130,0,100,49.47337627870384
