"scenario","stage","block","uid","value"
1,1,1,1,20
1,1,2,1,20
1,1,3,1,20
1,1,4,1,20
1,1,5,1,20
1,1,6,1,20
1,1,7,1,20
1,1,8,1,20
1,1,9,1,20
1,1,10,1,20
1,1,11,1,20
1,1,12,1,20
1,1,13,1,20
1,1,14,1,20
1,1,15,1,20
1,1,16,1,20
1,1,17,1,20
1,1,18,1,20
1,1,19,1,20
1,1,20,1,20
1,1,21,1,20
1,1,22,1,20
1,1,23,1,20
1,1,24,1,20
1,1,1,2,35
1,1,2,2,35
1,1,3,2,35
1,1,4,2,35
1,1,5,2,35
1,1,6,2,35
1,1,7,2,35
1,1,8,2,35
1,1,9,2,35
1,1,10,2,35
1,1,11,2,35
1,1,12,2,35
1,1,13,2,28.75349
1,1,14,2,28.75349
1,1,15,2,35
1,1,16,2,35
1,1,17,2,35
1,1,18,2,35
1,1,19,2,35
1,1,20,2,35
1,1,21,2,35
1,1,22,2,35
1,1,23,2,35
1,1,24,2,35
1,1,1,3,33.362488
1,1,2,3,33.362488
1,1,3,3,33.362488
1,1,4,3,33.362488
1,1,5,3,33.362488
1,1,6,3,33.362488
1,1,7,3,37.198063
1,1,8,3,37.198063
1,1,9,3,37.198063
1,1,10,3,37.198063
1,1,11,3,37.198063
1,1,12,3,37.198063
1,1,13,3,33.697598
1,1,14,3,33.697598
1,1,15,3,37.198063
1,1,16,3,37.198063
1,1,17,3,37.198063
1,1,18,3,37.198063
1,1,19,3,40.06194
1,1,20,3,40.06194
1,1,21,3,1000
1,1,22,3,1000
1,1,23,3,40.06194
1,1,24,3,41.365677
1,1,1,4,31.94781
1,1,2,4,31.94781
1,1,3,4,31.94781
1,1,4,4,31.94781
1,1,5,4,31.94781
1,1,6,4,31.94781
1,1,7,4,39.09701
1,1,8,4,39.09701
1,1,9,4,39.09701
1,1,10,4,39.09701
1,1,11,4,39.09701
1,1,12,4,39.09701
1,1,13,4,37.968906
1,1,14,4,37.968906
1,1,15,4,39.09701
1,1,16,4,39.09701
1,1,17,4,39.09701
1,1,18,4,39.09701
1,1,19,4,44.435043
1,1,20,4,44.435043
1,1,21,4,396.08002
1,1,22,4,396.08002
1,1,23,4,44.435043
1,1,24,4,46.865105
1,1,1,5,30.928469
1,1,2,5,30.928469
1,1,3,5,30.928469
1,1,4,5,30.928469
1,1,5,5,30.928469
1,1,6,5,30.928469
1,1,7,5,40.46529
1,1,8,5,40.46529
1,1,9,5,40.46529
1,1,10,5,40.46529
1,1,11,5,40.46529
1,1,12,5,40.46529
1,1,13,5,41.046577
1,1,14,5,41.046577
1,1,15,5,40.46529
1,1,16,5,40.46529
1,1,17,5,40.46529
1,1,18,5,40.46529
1,1,19,5,47.586067
1,1,20,5,47.586067
1,1,21,5,336.98013
1,1,22,5,336.98013
1,1,23,5,47.586067
1,1,24,5,36.462563
1,1,1,6,31.2751
1,1,2,6,31.2751
1,1,3,6,31.2751
1,1,4,6,31.2751
1,1,5,6,31.2751
1,1,6,6,31.2751
1,1,7,6,40
1,1,8,6,40
1,1,9,6,40
1,1,10,6,40
1,1,11,6,40
1,1,12,6,40
1,1,13,6,40
1,1,14,6,40
1,1,15,6,40
1,1,16,6,40
1,1,17,6,40
1,1,18,6,40
1,1,19,6,46.514545
1,1,20,6,46.514545
1,1,21,6,357.07733
1,1,22,6,357.07733
1,1,23,6,46.514545
1,1,24,6,40
1,1,1,7,31.765049
1,1,2,7,31.765049
1,1,3,7,31.765049
1,1,4,7,31.765049
1,1,5,7,31.765049
1,1,6,7,31.765049
1,1,7,7,39.342335
1,1,8,7,39.342335
1,1,9,7,39.342335
1,1,10,7,39.342335
1,1,11,7,39.342335
1,1,12,7,39.342335
1,1,13,7,38.52071
1,1,14,7,38.52071
1,1,15,7,39.342335
1,1,16,7,39.342335
1,1,17,7,39.342335
1,1,18,7,39.342335
1,1,19,7,45
1,1,20,7,45
1,1,21,7,385.4838
1,1,22,7,385.4838
1,1,23,7,45
1,1,24,7,45
1,1,1,8,31.765049
1,1,2,8,31.765049
1,1,3,8,31.765049
1,1,4,8,31.765049
1,1,5,8,31.765049
1,1,6,8,31.765049
1,1,7,8,39.342335
1,1,8,8,39.342335
1,1,9,8,39.342335
1,1,10,8,39.342335
1,1,11,8,39.342335
1,1,12,8,39.342335
1,1,13,8,38.52071
1,1,14,8,38.52071
1,1,15,8,39.342335
1,1,16,8,39.342335
1,1,17,8,39.342335
1,1,18,8,39.342335
1,1,19,8,45
1,1,20,8,45
1,1,21,8,45
1,1,22,8,45
1,1,23,8,45
1,1,24,8,45
1,1,1,9,31.668905
1,1,2,9,31.668905
1,1,3,9,31.668905
1,1,4,9,31.668905
1,1,5,9,31.668905
1,1,6,9,31.668905
1,1,7,9,39.47139
