"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5","uid:6","uid:7","uid:8","uid:9","uid:10","uid:11"
1,1,1,22.5,52.20381915104586,45,11,19,34,11,6,7,15,17
1,1,2,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,3,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,4,21.2,50.8,42.3,10.3,17.9,31.9,10.3,5.6,6.6,14.1,15.9
1,1,5,21.6,51.8,43.2,10.6,18.2,32.6,10.6,5.8,6.7,14.4,16.3
1,1,6,23.4,51.27799062309413,46.8,11.4,19.8,35.4,11.4,6.2,7.3,15.6,17.7
1,1,7,26.1,55.52598144429338,52.2,12.8,22,39.4,12.8,7,8.1,17.4,15.197046651936708
1,1,8,30.6,65.46410760752539,61.2,15,25.8,40.38658084838674,13.049492937059604,8.2,9.5,20.4,9.18252039816121
1,1,9,33.3,79.9,66.6,16.3,28.1,40.242965910701116,11.181410435823972,8.9,10.3,22.2,7.359830229340234
1,1,10,34.7,83.2,69.3,16.9,29.3,41.749212159868144,10.531663154008257,9.2,10.8,23.1,6.661065183080544
1,1,11,35.6,85.3,71.1,17.4,30,43.48196257616327,10.196558773050253,9.5,11.1,23.7,6.329031303785512
1,1,12,36,86.4,72,17.6,30.4,44.93442926306843,10.168096292793576,9.6,11.2,24,6.268234649303558
1,1,13,36.5,87.5,72.9,17.8,30.8,45.80188852133938,10.033300945352966,9.7,11.3,24.3,6.114915575530254
1,1,14,36,86.4,72,17.6,30.4,45.51943669170264,10.27442915997751,9.6,11.2,24,6.360757068594915
1,1,15,35.1,84.2,70.2,17.2,29.6,44.958328354424665,10.78412240477248,9.4,10.9,23.4,6.8889703701533165
1,1,16,34.2,82.1,68.4,16.7,28.9,43.810585366763746,11.225559652914397,9.1,10.6,22.8,7.313526668739688
1,1,17,34.7,83.2,69.3,16.9,29.3,41.164204731233944,10.425330286824323,9.2,10.8,23.1,6.568542763789191
1,1,18,35.6,78.83402788680945,71.1,17.4,30,37.53211097163808,9.000521226971852,9.5,11.1,23.7,5.288334384223954
1,1,19,39.2,48.40027476079622,78.3,19.1,33.1,35.46566165538135,6.0925490351271545,10.4,12.2,26.1,2.476096058822344
1,1,20,41.9,34.6103067324764,83.7,20.5,35.3,33.63419693728394,3.8631331929713006,11.2,13,27.9,0.38326835637638784
1,1,21,43.7,30.402694610062973,87.15930592554047,21.3,36.9,27.939244950564724,5.8149671879460945,11.6,13.6,26.81314477559411,0.8719878383433168
1,1,22,45,30.176701640326485,86.10796362711196,22,38,27.939244950564724,5.406930321606905,12,13.329739911329026,26.175487577470467,0.8719878383433168
1,1,23,40.1,34.273235705273976,80.1,19.6,33.8,34.93193792862571,5.328054286459107,10.7,12.5,26.7,1.770440770709133
1,1,24,37.4,37.61807260632494,74.7,18.3,31.5,36.49934352496121,7.60674040090259,9.9,11.6,24.9,3.918796529289738
