"scenario","stage","block","uid:1","uid:2","uid:3","uid:4","uid:5"
1,1,1,0,99.04561700861566,-0,100,40.65820214243022
1,1,2,0,98.91245508693206,-0,100,32.88754491306803
1,1,3,0,101.71675043313392,-0,100,25.183249566866028
1,1,4,0,101.71675043313392,-0,100,25.183249566866028
1,1,5,0,98.91245508693206,-0,100,32.88754491306803
1,1,6,0,103.94568187376503,-0,100,42.33230874932908
1,1,7,0,116.19812690066126,6.5,100,45.82490119556881
1,1,8,1.1516161692904756,130,19.5,100,48.13108562184246
1,1,9,0.703529696015682,130,45.5,100,48.180676879849635
1,1,10,0,116.2813811450507,71.5,100,47.660559351906244
1,1,11,0,99.14532432669019,97.5,100,47.062228326308855
1,1,12,0,85.01007894198206,117,100,46.56068126318354
1,1,13,0,76.4889636220448,130,100,46.261141420177786
1,1,14,0,79.49594887721108,123.5,100,46.35867404306398
1,1,15,0,85.57899239215539,110.5,100,46.552428737195065
1,1,16,0,97.20091914574498,91,100,46.94875254267288
1,1,17,0,121.79551120982165,65,100,47.8625665720258
1,1,18,10.938240125502388,130,39,100,49.11675434414097
1,1,19,18.00426754013731,130,13,100,49.830313969989774
1,1,20,23.39090521910803,130,2.6,100,50
1,1,21,26.101345288051718,130,-0,100,50
1,1,22,27.008055866752887,130,-0,100,50
1,1,23,19.803668691067916,130,-0,100,50
1,1,24,14.469576782774611,130,-0,100,49.47337627870383
